revenue_id,date_id,year,month_num,month_name,quarter,quarter_label,stylist_id,territory_id,geo_id,city,region,country,currency_code,fx_rate,revenue_usd,revenue_local,cosm_revenue_usd,cosm_revenue_local,royalties_usd,session_mode,session_count
18,202512,2025,12,Dec,4,Q4 2025,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,13396.45,10583.2,2498.36,1973.7,1339.65,In-Person,13
19,202601,2026,1,Jan,1,Q1 2026,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,16138.67,12749.55,3805.36,3006.23,1613.87,In-Person,39
20,202602,2026,2,Feb,1,Q1 2026,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,11688.58,9233.98,2785.9,2200.86,1168.86,Virtual,18
21,202603,2026,3,Mar,1,Q1 2026,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,10664.73,8425.14,2747.76,2170.73,1066.47,In-Person,37
22,202604,2026,4,Apr,2,Q2 2026,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,9727.49,7684.72,2056.92,1624.97,972.75,Virtual,39
23,202605,2026,5,May,2,Q2 2026,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,8422.97,6654.15,1242.16,981.31,842.3,Virtual,11
24,202606,2026,6,Jun,2,Q2 2026,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,14354.76,11340.26,1566.77,1237.75,1435.48,In-Person,40
25,202507,2025,7,Jul,3,Q3 2025,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,19282.65,15233.29,3566.91,2817.86,1928.27,In-Person,40
26,202508,2025,8,Aug,3,Q3 2025,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,9211.34,7276.96,1195.01,944.06,921.13,In-Person,23
27,202509,2025,9,Sep,3,Q3 2025,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,13095.31,10345.29,3282.41,2593.1,1309.53,In-Person,10
28,202510,2025,10,Oct,4,Q4 2025,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,15682.58,12389.24,2620.18,2069.94,1568.26,In-Person,28
29,202511,2025,11,Nov,4,Q4 2025,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,19466.48,15378.52,2582.84,2040.44,1946.65,Virtual,23
30,202512,2025,12,Dec,4,Q4 2025,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,11437.37,9035.52,1383.24,1092.76,1143.74,In-Person,37
31,202601,2026,1,Jan,1,Q1 2026,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,12044.13,9514.86,2653.3,2096.11,1204.41,In-Person,37
32,202602,2026,2,Feb,1,Q1 2026,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,15703.91,12406.09,2984.98,2358.13,1570.39,In-Person,21
33,202603,2026,3,Mar,1,Q1 2026,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,14320.62,11313.29,1735.56,1371.09,1432.06,In-Person,12
34,202604,2026,4,Apr,2,Q2 2026,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,18801.24,14852.98,2991.73,2363.47,1880.12,In-Person,27
35,202605,2026,5,May,2,Q2 2026,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,15590.13,12316.2,4021.59,3177.06,1559.01,In-Person,8
36,202606,2026,6,Jun,2,Q2 2026,S003,T01,G03,Birmingham,EMEA,United Kingdom,GBP,0.79,16264.36,12848.84,3069.68,2425.05,1626.44,Virtual,14
37,202507,2025,7,Jul,3,Q3 2025,S004,T02,G04,New York,Americas,United States,USD,1.0,11927.15,11927.15,1448.99,1448.99,1192.71,In-Person,14
38,202508,2025,8,Aug,3,Q3 2025,S004,T02,G04,New York,Americas,United States,USD,1.0,10486.06,10486.06,1309.41,1309.41,1048.61,In-Person,21
39,202509,2025,9,Sep,3,Q3 2025,S004,T02,G04,New York,Americas,United States,USD,1.0,10304.16,10304.16,1366.08,1366.08,1030.42,In-Person,24
40,202510,2025,10,Oct,4,Q4 2025,S004,T02,G04,New York,Americas,United States,USD,1.0,8748.0,8748.0,1226.29,1226.29,874.8,Virtual,11
41,202511,2025,11,Nov,4,Q4 2025,S004,T02,G04,New York,Americas,United States,USD,1.0,5718.52,5718.52,959.41,959.41,571.85,In-Person,8
42,202512,2025,12,Dec,4,Q4 2025,S004,T02,G04,New York,Americas,United States,USD,1.0,7487.75,7487.75,905.5,905.5,748.78,Virtual,18
43,202601,2026,1,Jan,1,Q1 2026,S004,T02,G04,New York,Americas,United States,USD,1.0,10477.36,10477.36,1972.56,1972.56,1047.74,In-Person,8
44,202602,2026,2,Feb,1,Q1 2026,S004,T02,G04,New York,Americas,United States,USD,1.0,5862.08,5862.08,1472.6,1472.6,586.21,In-Person,17
45,202603,2026,3,Mar,1,Q1 2026,S004,T02,G04,New York,Americas,United States,USD,1.0,9042.66,9042.66,2111.78,2111.78,904.27,In-Person,17
46,202604,2026,4,Apr,2,Q2 2026,S004,T02,G04,New York,Americas,United States,USD,1.0,8193.44,8193.44,874.18,874.18,819.34,In-Person,10
47,202605,2026,5,May,2,Q2 2026,S004,T02,G04,New York,Americas,United States,USD,1.0,11633.78,11633.78,1554.42,1554.42,1163.38,In-Person,14
48,202606,2026,6,Jun,2,Q2 2026,S004,T02,G04,New York,Americas,United States,USD,1.0,7635.31,7635.31,1447.51,1447.51,763.53,Virtual,17
49,202507,2025,7,Jul,3,Q3 2025,S005,T02,G05,Boston,Americas,United States,USD,1.0,9679.58,9679.58,1334.6,1334.6,967.96,In-Person,19
50,202508,2025,8,Aug,3,Q3 2025,S005,T02,G05,Boston,Americas,United States,USD,1.0,9413.5,9413.5,978.68,978.68,941.35,Virtual,29
51,202509,2025,9,Sep,3,Q3 2025,S005,T02,G05,Boston,Americas,United States,USD,1.0,8819.32,8819.32,1462.9,1462.9,881.93,In-Person,23
52,202510,2025,10,Oct,4,Q4 2025,S005,T02,G05,Boston,Americas,United States,USD,1.0,5725.83,5725.83,1293.92,1293.92,572.58,In-Person,10
53,202511,2025,11,Nov,4,Q4 2025,S005,T02,G05,Boston,Americas,United States,USD,1.0,9276.56,9276.56,1257.8,1257.8,927.66,Virtual,37
54,202512,2025,12,Dec,4,Q4 2025,S005,T02,G05,Boston,Americas,United States,USD,1.0,6222.95,6222.95,1439.28,1439.28,622.3,Virtual,22
55,202601,2026,1,Jan,1,Q1 2026,S005,T02,G05,Boston,Americas,United States,USD,1.0,4266.99,4266.99,558.55,558.55,426.7,In-Person,12
56,202602,2026,2,Feb,1,Q1 2026,S005,T02,G05,Boston,Americas,United States,USD,1.0,9926.33,9926.33,1435.94,1435.94,992.63,In-Person,33
57,202603,2026,3,Mar,1,Q1 2026,S005,T02,G05,Boston,Americas,United States,USD,1.0,8202.11,8202.11,1927.38,1927.38,820.21,In-Person,9
58,202604,2026,4,Apr,2,Q2 2026,S005,T02,G05,Boston,Americas,United States,USD,1.0,4817.05,4817.05,1229.62,1229.62,481.71,In-Person,24
59,202605,2026,5,May,2,Q2 2026,S005,T02,G05,Boston,Americas,United States,USD,1.0,4354.54,4354.54,851.1,851.1,435.45,In-Person,28
60,202606,2026,6,Jun,2,Q2 2026,S005,T02,G05,Boston,Americas,United States,USD,1.0,6743.36,6743.36,1736.27,1736.27,674.34,In-Person,20
61,202507,2025,7,Jul,3,Q3 2025,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,6909.63,6909.63,1474.55,1474.55,690.96,In-Person,20
62,202508,2025,8,Aug,3,Q3 2025,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,7712.62,7712.62,857.61,857.61,771.26,In-Person,29
63,202509,2025,9,Sep,3,Q3 2025,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,9611.47,9611.47,1981.33,1981.33,961.15,In-Person,27
64,202510,2025,10,Oct,4,Q4 2025,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,8760.57,8760.57,1810.83,1810.83,876.06,In-Person,26
65,202511,2025,11,Nov,4,Q4 2025,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,9107.36,9107.36,1190.28,1190.28,910.74,In-Person,32
66,202512,2025,12,Dec,4,Q4 2025,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,10008.66,10008.66,2446.61,2446.61,1000.87,In-Person,27
67,202601,2026,1,Jan,1,Q1 2026,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,8019.55,8019.55,1871.73,1871.73,801.96,In-Person,21
68,202602,2026,2,Feb,1,Q1 2026,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,8194.18,8194.18,1579.82,1579.82,819.42,In-Person,37
69,202603,2026,3,Mar,1,Q1 2026,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,8281.43,8281.43,1723.37,1723.37,828.14,In-Person,18
70,202604,2026,4,Apr,2,Q2 2026,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,9873.24,9873.24,1435.63,1435.63,987.32,In-Person,29
71,202605,2026,5,May,2,Q2 2026,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,5726.51,5726.51,1444.91,1444.91,572.65,In-Person,27
72,202606,2026,6,Jun,2,Q2 2026,S006,T03,G06,Los Angeles,Americas,United States,USD,1.0,6689.03,6689.03,882.02,882.02,668.9,In-Person,23
73,202507,2025,7,Jul,3,Q3 2025,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,10028.62,10028.62,1983.7,1983.7,1002.86,Virtual,37
74,202508,2025,8,Aug,3,Q3 2025,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,6611.65,6611.65,1327.37,1327.37,661.16,In-Person,32
75,202509,2025,9,Sep,3,Q3 2025,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,7091.26,7091.26,985.95,985.95,709.13,In-Person,8
76,202510,2025,10,Oct,4,Q4 2025,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,9480.96,9480.96,2253.34,2253.34,948.1,Virtual,35
77,202511,2025,11,Nov,4,Q4 2025,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,5438.05,5438.05,1243.45,1243.45,543.81,In-Person,37
78,202512,2025,12,Dec,4,Q4 2025,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,4426.31,4426.31,619.12,619.12,442.63,Virtual,37
79,202601,2026,1,Jan,1,Q1 2026,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,4925.03,4925.03,858.64,858.64,492.5,In-Person,28
80,202602,2026,2,Feb,1,Q1 2026,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,9825.24,9825.24,2383.88,2383.88,982.52,In-Person,40
81,202603,2026,3,Mar,1,Q1 2026,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,6685.44,6685.44,1638.58,1638.58,668.54,In-Person,18
82,202604,2026,4,Apr,2,Q2 2026,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,8586.93,8586.93,1510.85,1510.85,858.69,In-Person,23
83,202605,2026,5,May,2,Q2 2026,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,9164.18,9164.18,1323.03,1323.03,916.42,Virtual,39
84,202606,2026,6,Jun,2,Q2 2026,S007,T03,G07,San Francisco,Americas,United States,USD,1.0,7885.49,7885.49,1135.0,1135.0,788.55,In-Person,26
85,202507,2025,7,Jul,3,Q3 2025,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,6761.29,10277.16,1039.45,1579.96,676.13,Virtual,13
86,202508,2025,8,Aug,3,Q3 2025,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,6056.41,9205.74,829.74,1261.2,605.64,In-Person,21
87,202509,2025,9,Sep,3,Q3 2025,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,5512.68,8379.27,910.78,1384.39,551.27,In-Person,34
88,202510,2025,10,Oct,4,Q4 2025,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,5498.28,8357.39,1282.54,1949.46,549.83,In-Person,9
89,202511,2025,11,Nov,4,Q4 2025,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,11324.37,17213.04,2519.62,3829.82,1132.44,In-Person,8
90,202512,2025,12,Dec,4,Q4 2025,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,11955.11,18171.77,1766.7,2685.38,1195.51,In-Person,34
91,202601,2026,1,Jan,1,Q1 2026,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,8988.62,13662.7,1955.4,2972.21,898.86,Virtual,22
92,202602,2026,2,Feb,1,Q1 2026,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,8622.02,13105.47,1238.72,1882.85,862.2,In-Person,32
93,202603,2026,3,Mar,1,Q1 2026,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,7506.62,11410.06,1566.35,2380.85,750.66,In-Person,18
94,202604,2026,4,Apr,2,Q2 2026,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,11205.37,17032.16,2769.15,4209.11,1120.54,Virtual,9
95,202605,2026,5,May,2,Q2 2026,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,11692.48,17772.57,2276.56,3460.37,1169.25,In-Person,13
96,202606,2026,6,Jun,2,Q2 2026,S008,T04,G08,Sydney,APAC,Australia,AUD,1.52,9755.16,14827.84,1187.32,1804.73,975.52,In-Person,11
97,202507,2025,7,Jul,3,Q3 2025,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,8213.02,12483.79,1251.47,1902.23,821.3,In-Person,29
98,202508,2025,8,Aug,3,Q3 2025,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,12555.66,19084.6,2017.19,3066.13,1255.57,Virtual,34
99,202509,2025,9,Sep,3,Q3 2025,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,8144.69,12379.93,921.21,1400.24,814.47,In-Person,11
100,202510,2025,10,Oct,4,Q4 2025,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,14624.2,22228.78,2281.28,3467.55,1462.42,In-Person,10
101,202511,2025,11,Nov,4,Q4 2025,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,12495.02,18992.43,3147.97,4784.91,1249.5,In-Person,9
102,202512,2025,12,Dec,4,Q4 2025,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,11343.24,17241.72,1567.26,2382.24,1134.32,In-Person,15
103,202601,2026,1,Jan,1,Q1 2026,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,10846.07,16486.03,1462.86,2223.55,1084.61,In-Person,31
104,202602,2026,2,Feb,1,Q1 2026,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,7412.51,11267.02,1461.45,2221.4,741.25,Virtual,15
105,202603,2026,3,Mar,1,Q1 2026,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,12699.2,19302.78,1602.67,2436.06,1269.92,In-Person,9
106,202604,2026,4,Apr,2,Q2 2026,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,14008.69,21293.21,2691.45,4091.0,1400.87,Virtual,32
107,202605,2026,5,May,2,Q2 2026,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,9396.01,14281.94,2014.53,3062.09,939.6,In-Person,23
108,202606,2026,6,Jun,2,Q2 2026,S009,T04,G09,Melbourne,APAC,Australia,AUD,1.52,6841.48,10399.05,1529.73,2325.19,684.15,Virtual,15
109,202507,2025,7,Jul,3,Q3 2025,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,8902.36,32671.66,1696.34,6225.57,890.24,In-Person,35
110,202508,2025,8,Aug,3,Q3 2025,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,8094.13,29705.46,898.72,3298.3,809.41,In-Person,8
111,202509,2025,9,Sep,3,Q3 2025,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,9222.45,33846.39,2135.67,7837.91,922.25,In-Person,31
112,202510,2025,10,Oct,4,Q4 2025,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,7938.51,29134.33,1846.44,6776.43,793.85,Virtual,35
113,202511,2025,11,Nov,4,Q4 2025,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,5181.82,19017.28,950.76,3489.29,518.18,In-Person,38
114,202512,2025,12,Dec,4,Q4 2025,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,6914.24,25375.26,1604.92,5890.06,691.42,In-Person,28
115,202601,2026,1,Jan,1,Q1 2026,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,9235.28,33893.48,2151.05,7894.35,923.53,In-Person,36
116,202602,2026,2,Feb,1,Q1 2026,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,5588.18,20508.62,974.32,3575.75,558.82,In-Person,32
117,202603,2026,3,Mar,1,Q1 2026,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,6143.38,22546.2,1100.21,4037.77,614.34,In-Person,39
118,202604,2026,4,Apr,2,Q2 2026,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,5397.72,19809.63,1228.81,4509.73,539.77,In-Person,25
119,202605,2026,5,May,2,Q2 2026,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,7459.75,27377.28,1362.6,5000.74,745.98,In-Person,23
120,202606,2026,6,Jun,2,Q2 2026,S010,T05,G10,Dubai,EMEA,United Arab Emirates,AED,3.67,8445.45,30994.8,1504.75,5522.43,844.55,Virtual,38
121,202507,2025,7,Jul,3,Q3 2025,S011,T06,G11,Mumbai,APAC,India,INR,83.0,8000.42,664034.86,1428.33,118551.39,800.04,Virtual,13
122,202508,2025,8,Aug,3,Q3 2025,S011,T06,G11,Mumbai,APAC,India,INR,83.0,5890.41,488904.03,970.18,80524.94,589.04,In-Person,31
123,202509,2025,9,Sep,3,Q3 2025,S011,T06,G11,Mumbai,APAC,India,INR,83.0,6964.56,578058.48,1288.08,106910.64,696.46,In-Person,29
124,202510,2025,10,Oct,4,Q4 2025,S011,T06,G11,Mumbai,APAC,India,INR,83.0,6235.86,517576.38,1076.3,89332.9,623.59,In-Person,22
125,202511,2025,11,Nov,4,Q4 2025,S011,T06,G11,Mumbai,APAC,India,INR,83.0,4848.94,402462.02,634.31,52647.73,484.89,In-Person,19
126,202512,2025,12,Dec,4,Q4 2025,S011,T06,G11,Mumbai,APAC,India,INR,83.0,5274.25,437762.75,1150.72,95509.76,527.43,In-Person,26
127,202601,2026,1,Jan,1,Q1 2026,S011,T06,G11,Mumbai,APAC,India,INR,83.0,10008.06,830668.98,2334.09,193729.47,1000.81,In-Person,31
128,202602,2026,2,Feb,1,Q1 2026,S011,T06,G11,Mumbai,APAC,India,INR,83.0,5201.65,431736.95,531.94,44151.02,520.16,In-Person,25
129,202603,2026,3,Mar,1,Q1 2026,S011,T06,G11,Mumbai,APAC,India,INR,83.0,4398.09,365041.47,478.18,39688.94,439.81,In-Person,16
130,202604,2026,4,Apr,2,Q2 2026,S011,T06,G11,Mumbai,APAC,India,INR,83.0,7952.22,660034.26,1753.04,145502.32,795.22,In-Person,8
131,202605,2026,5,May,2,Q2 2026,S011,T06,G11,Mumbai,APAC,India,INR,83.0,7569.39,628259.37,1325.43,110010.69,756.94,In-Person,19
132,202606,2026,6,Jun,2,Q2 2026,S011,T06,G11,Mumbai,APAC,India,INR,83.0,9917.99,823193.17,1392.45,115573.35,991.8,Virtual,15
133,202507,2025,7,Jul,3,Q3 2025,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,15096.16,1252981.28,2477.48,205630.84,1509.62,In-Person,11
134,202508,2025,8,Aug,3,Q3 2025,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,8392.27,696558.41,1928.4,160057.2,839.23,Virtual,13
135,202509,2025,9,Sep,3,Q3 2025,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,16814.18,1395576.94,2000.08,166006.64,1681.42,Virtual,22
136,202510,2025,10,Oct,4,Q4 2025,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,14631.94,1214451.02,2353.7,195357.1,1463.19,Virtual,27
137,202511,2025,11,Nov,4,Q4 2025,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,15476.67,1284563.61,3999.25,331937.75,1547.67,In-Person,11
138,202512,2025,12,Dec,4,Q4 2025,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,12971.31,1076618.73,2833.12,235148.96,1297.13,Virtual,21
139,202601,2026,1,Jan,1,Q1 2026,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,13130.15,1089802.45,1868.99,155126.17,1313.02,In-Person,23
140,202602,2026,2,Feb,1,Q1 2026,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,8613.14,714890.62,964.76,80075.08,861.31,In-Person,36
141,202603,2026,3,Mar,1,Q1 2026,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,13768.71,1142802.93,2412.09,200203.47,1376.87,In-Person,26
142,202604,2026,4,Apr,2,Q2 2026,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,13944.56,1157398.48,2962.91,245921.53,1394.46,In-Person,22
143,202605,2026,5,May,2,Q2 2026,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,16114.11,1337471.13,3642.63,302338.29,1611.41,In-Person,20
144,202606,2026,6,Jun,2,Q2 2026,S012,T06,G12,Bengaluru,APAC,India,INR,83.0,11126.39,923490.37,2082.08,172812.64,1112.64,In-Person,25
145,202507,2025,7,Jul,3,Q3 2025,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,13122.47,10366.75,1462.18,1155.12,1312.25,In-Person,27
146,202508,2025,8,Aug,3,Q3 2025,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,11115.38,8781.15,2577.42,2036.16,1111.54,Virtual,36
147,202509,2025,9,Sep,3,Q3 2025,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,7036.07,5558.5,1478.9,1168.33,703.61,In-Person,25
148,202510,2025,10,Oct,4,Q4 2025,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,10295.76,8133.65,1843.02,1455.99,1029.58,In-Person,10
149,202511,2025,11,Nov,4,Q4 2025,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,13666.67,10796.67,2972.85,2348.55,1366.67,In-Person,9
150,202512,2025,12,Dec,4,Q4 2025,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,6749.83,5332.37,1713.82,1353.92,674.98,Virtual,9
151,202601,2026,1,Jan,1,Q1 2026,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,14621.29,11550.82,3034.87,2397.55,1462.13,In-Person,10
152,202602,2026,2,Feb,1,Q1 2026,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,12571.94,9931.83,1609.59,1271.58,1257.19,In-Person,36
153,202603,2026,3,Mar,1,Q1 2026,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,13897.63,10979.13,1793.33,1416.73,1389.76,In-Person,39
154,202604,2026,4,Apr,2,Q2 2026,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,14356.81,11341.88,2515.34,1987.12,1435.68,In-Person,28
155,202605,2026,5,May,2,Q2 2026,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,11766.16,9295.27,2791.37,2205.18,1176.62,In-Person,39
156,202606,2026,6,Jun,2,Q2 2026,S013,T01,G01,London,EMEA,United Kingdom,GBP,0.79,8456.22,6680.41,2124.46,1678.32,845.62,Virtual,10
157,202507,2025,7,Jul,3,Q3 2025,S014,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,13707.91,10829.25,2060.61,1627.88,1370.79,In-Person,33
158,202508,2025,8,Aug,3,Q3 2025,S014,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,18628.93,14716.85,4321.69,3414.14,1862.89,In-Person,37
159,202509,2025,9,Sep,3,Q3 2025,S014,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,13208.97,10435.09,1717.34,1356.7,1320.9,In-Person,39
160,202510,2025,10,Oct,4,Q4 2025,S014,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,15754.9,12446.37,3491.26,2758.1,1575.49,In-Person,16
161,202511,2025,11,Nov,4,Q4 2025,S014,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,19382.07,15311.84,3296.86,2604.52,1938.21,In-Person,15
162,202512,2025,12,Dec,4,Q4 2025,S014,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,8596.43,6791.18,1726.19,1363.69,859.64,Virtual,18
