BridgeID,ClientID,StylistID,IsPreferredStylist,FirstVisitDate,LastVisitDate,VisitCount,TotalSpend_GBP
BCS000030,CL0238,STY002,Yes,2020-06-18,2020-10-22,3,150.25
BCS000031,CL0238,STY057,No,2024-08-21,2024-12-25,3,635.83
BCS000032,CL2285,STY025,Yes,2021-08-27,2022-03-25,5,464.09
BCS000033,CL2380,STY007,Yes,2024-02-22,2025-01-23,8,735.82
BCS000034,CL2380,STY045,No,2023-11-17,2024-10-18,8,839.02
BCS000035,CL1240,STY055,Yes,2020-09-03,2021-08-05,8,176.79
BCS000036,CL1514,STY056,Yes,2021-12-17,2022-10-07,7,398.99
BCS000037,CL2089,STY038,Yes,2020-03-24,2021-01-12,7,490.63
BCS000038,CL2493,STY037,Yes,2024-05-14,2024-12-10,5,107.14
BCS000039,CL2918,STY047,Yes,2020-11-26,2021-06-24,5,808.46
BCS000040,CL2918,STY020,No,2023-10-13,2024-08-02,7,610.02
BCS000041,CL2569,STY059,Yes,2023-07-02,2023-12-17,4,817.68
BCS000042,CL1600,STY012,Yes,2023-04-01,2023-06-24,2,668.98
BCS000043,CL0687,STY002,Yes,2022-07-28,2022-09-08,1,368.19
BCS000044,CL1659,STY032,Yes,2022-05-12,2022-06-23,1,670.51
BCS000045,CL2253,STY015,Yes,2020-06-18,2021-02-25,6,123.04
BCS000046,CL2991,STY006,Yes,2022-03-23,2022-07-27,3,411.39
BCS000047,CL2991,STY009,No,2020-03-03,2020-04-14,1,196.59
BCS000048,CL2071,STY074,Yes,2024-01-09,2024-06-25,4,600.42
BCS000049,CL1080,STY044,Yes,2024-11-03,2025-04-20,4,261.6
BCS000050,CL1080,STY059,No,2021-08-14,2022-01-29,4,365.41
BCS000051,CL2255,STY024,Yes,2021-08-03,2022-05-24,7,451.36
BCS000052,CL2255,STY014,No,2020-07-05,2021-01-31,5,385.22
BCS000053,CL2097,STY065,Yes,2024-10-13,2025-05-11,5,607.48
BCS000054,CL2097,STY053,No,2021-05-06,2021-09-09,3,112.32
BCS000055,CL2097,STY050,No,2021-03-01,2021-05-24,2,806.52
BCS000056,CL1816,STY018,Yes,2022-01-17,2022-05-23,3,682.9
BCS000057,CL1816,STY053,No,2020-10-17,2021-05-15,5,391.6
BCS000058,CL1816,STY055,No,2021-11-13,2022-06-11,5,743.03
BCS000059,CL1684,STY022,Yes,2024-01-15,2024-12-16,8,600.71
BCS000060,CL0842,STY006,Yes,2024-07-18,2024-08-29,1,615.35
BCS000061,CL2151,STY019,Yes,2023-01-23,2023-11-13,7,596.37
BCS000062,CL2151,STY003,No,2020-06-25,2021-01-21,5,598.24
BCS000063,CL0094,STY003,Yes,2021-10-16,2022-01-08,2,539.87
BCS000064,CL0638,STY044,Yes,2021-07-27,2022-01-11,4,717.05
BCS000065,CL0070,STY015,Yes,2022-03-31,2022-09-15,4,645.87
BCS000066,CL2807,STY026,Yes,2021-10-17,2022-08-07,7,732.99
BCS000067,CL2807,STY031,No,2021-03-20,2022-01-08,7,546.7
BCS000068,CL1962,STY026,Yes,2020-07-02,2020-08-13,1,137.93
BCS000069,CL1962,STY002,No,2020-03-18,2020-04-29,1,492.37
BCS000070,CL1633,STY031,Yes,2020-05-15,2021-04-16,8,488.39
BCS000071,CL0325,STY040,Yes,2020-04-01,2020-08-05,3,492.68
BCS000072,CL0325,STY069,No,2021-04-17,2021-12-25,6,622.76
BCS000073,CL0619,STY043,Yes,2023-01-18,2023-05-24,3,566.87
BCS000074,CL0975,STY030,Yes,2020-04-11,2020-11-07,5,628.24
BCS000075,CL2432,STY054,Yes,2020-06-30,2020-12-15,4,676.59
BCS000076,CL2432,STY055,No,2022-03-17,2022-07-21,3,498.01
BCS000077,CL1635,STY066,Yes,2020-10-14,2021-02-17,3,604.16
BCS000078,CL1635,STY011,No,2022-05-28,2022-08-20,2,358.34
BCS000079,CL2791,STY074,Yes,2023-11-29,2024-06-26,5,675.67
BCS000080,CL2791,STY039,No,2024-09-30,2024-11-11,1,753.22
BCS000081,CL2791,STY059,No,2024-01-10,2024-06-26,4,150.61
BCS000082,CL0446,STY012,Yes,2021-12-15,2022-06-01,4,604.13
BCS000083,CL0446,STY005,No,2024-02-27,2024-08-13,4,101.32
BCS000084,CL0739,STY064,Yes,2023-05-23,2024-04-23,8,562.14
BCS000085,CL0739,STY026,No,2021-08-17,2021-12-21,3,166.47
BCS000086,CL0470,STY016,Yes,2024-03-09,2024-10-05,5,200.65
BCS000087,CL2588,STY030,Yes,2022-08-29,2023-06-19,7,648.75
BCS000088,CL2736,STY004,Yes,2024-03-31,2024-06-23,2,401.18
BCS000089,CL2469,STY062,Yes,2023-11-14,2024-02-06,2,479.36
BCS000090,CL0115,STY017,Yes,2023-09-09,2024-02-24,4,403.92
BCS000091,CL2589,STY070,Yes,2022-12-13,2023-08-22,6,113.55
BCS000092,CL1367,STY051,Yes,2022-07-30,2023-05-20,7,224.78
BCS000093,CL1367,STY021,No,2020-11-21,2021-03-27,3,415.96
BCS000094,CL0362,STY066,Yes,2024-08-28,2024-10-09,1,525.26
BCS000095,CL2242,STY058,Yes,2020-06-24,2021-04-14,7,842.08
BCS000096,CL2242,STY051,No,2021-10-27,2022-03-02,3,236.38
BCS000097,CL2240,STY069,Yes,2021-08-19,2022-02-03,4,705.36
BCS000098,CL2240,STY001,No,2023-03-04,2023-05-27,2,197.36
BCS000099,CL2240,STY060,No,2021-11-30,2022-11-01,8,457.61
BCS000100,CL0409,STY042,Yes,2023-05-20,2024-04-20,8,382.04
BCS000101,CL0634,STY025,Yes,2023-02-14,2023-10-24,6,819.49
BCS000102,CL2323,STY041,Yes,2020-03-01,2020-05-24,2,788.43
BCS000103,CL2651,STY038,Yes,2020-08-11,2021-06-01,7,343.89
BCS000104,CL2651,STY016,No,2023-02-03,2023-07-21,4,526.6
BCS000105,CL2651,STY057,No,2024-08-12,2024-12-16,3,540.62
BCS000106,CL2212,STY046,Yes,2024-06-29,2024-09-21,2,498.46
BCS000107,CL2212,STY051,No,2022-06-22,2022-09-14,2,584.46
BCS000108,CL2212,STY045,No,2024-09-19,2025-04-17,5,491.81
BCS000109,CL2143,STY047,Yes,2024-05-03,2024-06-14,1,98.29
BCS000110,CL2637,STY034,Yes,2023-05-02,2023-09-05,3,489.75
BCS000111,CL2637,STY035,No,2022-07-04,2023-06-05,8,358.93
BCS000112,CL1586,STY007,Yes,2023-07-06,2023-12-21,4,580.13
BCS000113,CL2686,STY026,Yes,2020-09-09,2020-12-02,2,646.97
BCS000114,CL2686,STY003,No,2020-11-03,2021-07-13,6,573.38
BCS000115,CL0403,STY065,Yes,2022-03-12,2022-04-23,1,467.52
BCS000116,CL2093,STY003,Yes,2022-04-02,2022-12-10,6,207.67
BCS000117,CL0549,STY030,Yes,2024-10-08,2025-03-25,4,403.1
BCS000118,CL0109,STY016,Yes,2023-07-22,2023-09-02,1,385.25
BCS000119,CL2658,STY002,Yes,2023-08-01,2024-01-16,4,109.96
BCS000120,CL2658,STY064,No,2020-10-05,2021-05-03,5,688.05
BCS000121,CL2001,STY055,Yes,2023-12-08,2024-11-08,8,369.43
BCS000122,CL2001,STY018,No,2022-08-19,2023-03-17,5,845.58
BCS000123,CL2001,STY034,No,2023-11-29,2024-08-07,6,468.59
BCS000124,CL0029,STY012,Yes,2021-09-16,2022-07-07,7,809.26
BCS000125,CL0029,STY036,No,2023-05-08,2024-01-15,6,775.48
BCS000126,CL1646,STY064,Yes,2020-04-11,2021-01-30,7,504.78
BCS000127,CL1646,STY033,No,2022-10-06,2023-03-23,4,368.22
BCS000128,CL1590,STY048,Yes,2021-03-24,2021-10-20,5,344.38
BCS000129,CL2442,STY049,Yes,2023-09-04,2024-06-24,7,771.72
BCS000130,CL0151,STY054,Yes,2021-02-10,2021-09-08,5,477.54
BCS000131,CL0151,STY046,No,2024-05-29,2024-12-25,5,518.98
BCS000132,CL0151,STY066,No,2024-10-19,2025-04-05,4,594.32
BCS000133,CL0486,STY071,Yes,2024-10-16,2025-08-06,7,723.25
BCS000134,CL0486,STY055,No,2021-03-18,2022-01-06,7,833.87
BCS000135,CL0486,STY021,No,2024-08-26,2025-03-24,5,485.78
BCS000136,CL0193,STY004,Yes,2024-10-28,2025-09-29,8,451.94
BCS000137,CL1863,STY001,Yes,2022-11-06,2023-06-04,5,279.0
BCS000138,CL2401,STY053,Yes,2021-03-23,2021-10-19,5,322.08
BCS000139,CL2401,STY072,No,2024-11-19,2025-09-09,7,847.6
BCS000140,CL0541,STY069,Yes,2021-12-30,2022-02-10,1,671.19
BCS000141,CL0541,STY005,No,2024-06-06,2025-01-02,5,335.94
BCS000142,CL0899,STY005,Yes,2023-05-05,2023-09-08,3,496.67
BCS000143,CL1971,STY022,Yes,2024-02-09,2024-03-22,1,133.61
BCS000144,CL0602,STY023,Yes,2024-04-01,2024-09-16,4,523.19
BCS000145,CL2415,STY058,Yes,2024-02-21,2025-01-22,8,779.77
BCS000146,CL2415,STY030,No,2024-09-25,2025-06-04,6,298.58
BCS000147,CL2273,STY045,Yes,2021-05-09,2021-06-20,1,142.89
BCS000148,CL2273,STY001,No,2020-10-09,2021-06-18,6,517.12
BCS000149,CL0590,STY046,Yes,2020-03-19,2020-07-23,3,615.29
BCS000150,CL1588,STY039,Yes,2020-02-17,2020-06-22,3,819.36
BCS000151,CL1588,STY044,No,2020-07-11,2021-02-06,5,253.34
BCS000152,CL2267,STY009,Yes,2020-10-12,2021-09-13,8,545.45
BCS000153,CL2486,STY030,Yes,2024-03-17,2025-02-16,8,563.43
BCS000154,CL2486,STY029,No,2024-08-31,2025-05-10,6,237.01
BCS000155,CL0947,STY013,Yes,2020-10-18,2021-04-04,4,590.9
BCS000156,CL0947,STY015,No,2023-03-25,2023-05-06,1,302.45
BCS000157,CL0918,STY052,Yes,2021-01-13,2021-12-15,8,711.92
BCS000158,CL0918,STY046,No,2020-11-01,2021-08-22,7,729.57
BCS000159,CL1126,STY024,Yes,2024-07-08,2025-03-17,6,178.81
BCS000160,CL2894,STY047,Yes,2022-10-12,2023-03-29,4,494.04
BCS000161,CL2095,STY045,Yes,2021-12-14,2022-07-12,5,353.38
BCS000162,CL2715,STY056,Yes,2020-03-24,2020-06-16,2,536.37
BCS000163,CL1789,STY011,Yes,2022-09-03,2023-04-01,5,354.74
BCS000164,CL2709,STY029,Yes,2023-11-11,2024-10-12,8,622.4
BCS000165,CL1245,STY054,Yes,2021-01-16,2021-04-10,2,408.88
BCS000166,CL1245,STY018,No,2021-02-13,2021-07-31,4,428.91
BCS000167,CL1245,STY061,No,2022-02-28,2022-05-23,2,848.25
BCS000168,CL2489,STY012,Yes,2023-09-29,2024-06-07,6,721.99
BCS000169,CL1861,STY055,Yes,2024-01-12,2024-05-17,3,669.59
BCS000170,CL0190,STY013,Yes,2020-12-21,2021-10-11,7,116.7
BCS000171,CL0994,STY016,Yes,2022-11-12,2023-10-14,8,391.15
BCS000172,CL1296,STY008,Yes,2022-05-18,2022-11-02,4,158.3
BCS000173,CL0182,STY031,Yes,2024-06-06,2024-11-21,4,791.83
BCS000174,CL0182,STY003,No,2023-05-09,2024-01-16,6,812.11
BCS000175,CL1724,STY064,Yes,2020-05-01,2020-11-27,5,348.37
BCS000176,CL2011,STY070,Yes,2024-08-08,2024-12-12,3,785.36
BCS000177,CL2011,STY019,No,2023-12-12,2024-10-01,7,427.74
BCS000178,CL1344,STY013,Yes,2024-04-06,2024-09-21,4,306.7
BCS000179,CL1344,STY023,No,2021-04-14,2021-05-26,1,327.98
BCS000180,CL1886,STY012,Yes,2023-09-08,2024-04-05,5,585.91
BCS000181,CL2094,STY048,Yes,2023-05-29,2023-11-13,4,397.56
BCS000182,CL2516,STY019,Yes,2023-02-06,2023-06-12,3,688.0
BCS000183,CL1695,STY032,Yes,2021-06-06,2021-10-10,3,450.89
BCS000184,CL2125,STY057,Yes,2022-08-13,2022-12-17,3,552.82
BCS000185,CL2125,STY049,No,2020-05-10,2020-08-02,2,637.34
BCS000186,CL0923,STY004,Yes,2024-03-12,2024-10-08,5,569.68
BCS000187,CL0783,STY011,Yes,2022-12-03,2023-05-20,4,583.41
BCS000188,CL1386,STY048,Yes,2021-04-05,2021-06-28,2,764.38
BCS000189,CL1452,STY021,Yes,2022-09-17,2022-12-10,2,607.04
BCS000190,CL1452,STY062,No,2020-08-07,2021-04-16,6,106.93
BCS000191,CL2829,STY015,Yes,2023-10-10,2024-09-10,8,551.74
BCS000192,CL1828,STY044,Yes,2024-07-14,2024-10-06,2,781.82
BCS000193,CL0055,STY021,Yes,2022-11-08,2023-01-31,2,730.6
BCS000194,CL1995,STY011,Yes,2024-03-02,2024-04-13,1,647.02
BCS000195,CL1812,STY020,Yes,2020-11-16,2021-02-08,2,543.25
BCS000196,CL0968,STY073,Yes,2020-06-03,2021-02-10,6,429.2
BCS000197,CL0416,STY056,Yes,2020-08-21,2020-10-02,1,366.03
BCS000198,CL0416,STY062,No,2023-03-02,2024-02-01,8,462.93
BCS000199,CL0700,STY038,Yes,2021-12-10,2022-03-04,2,376.74
BCS000200,CL2696,STY033,Yes,2021-07-15,2022-03-24,6,133.59
BCS000201,CL0894,STY023,Yes,2020-09-25,2021-07-16,7,655.51
BCS000202,CL0894,STY001,No,2022-12-02,2023-05-19,4,518.15
BCS000203,CL0411,STY005,Yes,2021-03-12,2021-10-08,5,576.65
BCS000204,CL1323,STY022,Yes,2022-10-27,2023-08-17,7,436.7
BCS000205,CL1323,STY041,No,2022-03-23,2022-05-04,1,274.49
BCS000206,CL1349,STY035,Yes,2023-05-23,2023-11-07,4,301.22
BCS000207,CL1349,STY002,No,2023-11-03,2024-10-04,8,607.96
BCS000208,CL1394,STY009,Yes,2023-01-03,2023-05-09,3,276.27
BCS000209,CL2590,STY065,Yes,2020-07-16,2020-08-27,1,152.02
BCS000210,CL0175,STY071,Yes,2023-09-23,2024-01-27,3,432.04
BCS000211,CL2948,STY041,Yes,2020-07-24,2021-01-08,4,279.65
BCS000212,CL1304,STY013,Yes,2023-01-22,2023-08-20,5,215.56
BCS000213,CL1803,STY031,Yes,2023-01-01,2023-05-07,3,368.05
BCS000214,CL2770,STY005,Yes,2024-04-27,2024-10-12,4,612.28
BCS000215,CL0135,STY050,Yes,2022-12-07,2023-03-01,2,641.37
BCS000216,CL1465,STY029,Yes,2024-09-18,2024-10-30,1,274.36
BCS000217,CL1465,STY054,No,2023-03-03,2023-05-26,2,584.63
BCS000218,CL0521,STY032,Yes,2023-05-14,2023-06-25,1,446.72
BCS000219,CL0521,STY049,No,2022-11-11,2023-06-09,5,584.25
BCS000220,CL2929,STY024,Yes,2020-04-04,2020-05-16,1,112.47
BCS000221,CL0384,STY033,Yes,2023-12-02,2024-02-24,2,684.31
BCS000222,CL2999,STY002,Yes,2022-06-07,2022-11-22,4,298.09
BCS000223,CL2999,STY059,No,2022-01-17,2022-02-28,1,694.81
BCS000224,CL2999,STY015,No,2023-10-06,2024-06-14,6,173.67
BCS000225,CL1960,STY001,Yes,2022-12-19,2023-08-28,6,156.1
BCS000226,CL2531,STY011,Yes,2023-06-28,2024-01-24,5,697.9
BCS000227,CL2472,STY034,Yes,2022-01-14,2022-11-04,7,552.16
BCS000228,CL2767,STY051,Yes,2021-12-05,2022-08-14,6,389.06
BCS000229,CL0912,STY024,Yes,2022-07-17,2023-05-07,7,471.38
BCS000230,CL2116,STY058,Yes,2024-02-12,2024-05-06,2,614.51
BCS000231,CL1122,STY065,Yes,2024-03-16,2024-07-20,3,734.08
BCS000232,CL1122,STY054,No,2021-05-07,2022-01-14,6,397.6
BCS000233,CL1148,STY052,Yes,2024-04-15,2025-02-03,7,792.37
BCS000234,CL1079,STY029,Yes,2020-02-21,2020-10-30,6,369.41
BCS000235,CL0184,STY013,Yes,2021-02-04,2022-01-06,8,659.32
BCS000236,CL1275,STY006,Yes,2024-02-02,2024-06-07,3,259.15
BCS000237,CL1275,STY022,No,2023-09-04,2024-04-01,5,598.75
BCS000238,CL1506,STY039,Yes,2020-12-26,2021-11-27,8,415.32
BCS000239,CL1506,STY051,No,2024-01-29,2024-07-15,4,95.64
BCS000240,CL1506,STY049,No,2023-10-24,2024-01-16,2,149.07
BCS000241,CL2086,STY013,Yes,2023-11-02,2024-05-30,5,226.46
BCS000242,CL2202,STY048,Yes,2021-08-28,2022-02-12,4,180.08
BCS000243,CL2202,STY024,No,2022-03-23,2023-01-11,7,251.44
BCS000244,CL0858,STY034,Yes,2024-09-19,2025-04-17,5,388.17
BCS000245,CL0858,STY062,No,2022-02-11,2022-12-02,7,542.83
BCS000246,CL0858,STY004,No,2022-09-16,2022-10-28,1,258.42
BCS000247,CL0429,STY030,Yes,2020-01-07,2020-02-18,1,305.12
BCS000248,CL0313,STY030,Yes,2022-04-02,2022-09-17,4,616.02
BCS000249,CL1276,STY045,Yes,2023-03-26,2023-07-30,3,658.85
BCS000250,CL0262,STY015,Yes,2023-09-16,2024-01-20,3,459.33
BCS000251,CL1264,STY043,Yes,2023-05-10,2023-10-25,4,306.52
BCS000252,CL1980,STY034,Yes,2020-04-12,2021-01-31,7,655.83
BCS000253,CL0211,STY013,Yes,2023-01-17,2023-12-19,8,223.61
BCS000254,CL0211,STY011,No,2022-11-17,2023-03-23,3,306.98
BCS000255,CL2669,STY025,Yes,2020-02-11,2020-05-05,2,500.04
BCS000256,CL0420,STY052,Yes,2023-08-28,2023-10-09,1,735.23
BCS000257,CL0625,STY058,Yes,2022-12-12,2023-07-10,5,723.64
BCS000258,CL0930,STY037,Yes,2023-04-06,2024-03-07,8,566.33
BCS000259,CL2655,STY021,Yes,2024-11-13,2025-03-19,3,175.37
BCS000260,CL1322,STY036,Yes,2023-01-23,2023-11-13,7,691.85
BCS000261,CL0202,STY046,Yes,2023-02-06,2023-05-01,2,846.15
BCS000262,CL0202,STY067,No,2020-01-20,2020-11-09,7,153.11
BCS000263,CL0202,STY013,No,2021-03-08,2021-11-15,6,401.82
BCS000264,CL0813,STY053,Yes,2021-02-13,2021-05-08,2,221.96
BCS000265,CL1641,STY047,Yes,2024-09-01,2025-05-11,6,433.72
BCS000266,CL2195,STY054,Yes,2020-07-30,2021-05-20,7,545.5
BCS000267,CL1819,STY028,Yes,2023-02-22,2023-05-17,2,161.95
BCS000268,CL1819,STY063,No,2024-09-14,2025-03-01,4,491.79
BCS000269,CL0467,STY007,Yes,2022-12-22,2023-04-27,3,621.76
BCS000270,CL0467,STY051,No,2020-08-21,2021-02-05,4,580.47
BCS000271,CL1329,STY010,Yes,2022-05-22,2023-04-23,8,357.78
BCS000272,CL2572,STY022,Yes,2022-03-07,2022-08-22,4,700.87
BCS000273,CL2572,STY015,No,2023-11-16,2024-05-02,4,413.3
BCS000274,CL1612,STY031,Yes,2020-06-06,2021-05-08,8,558.51
BCS000275,CL2187,STY035,Yes,2023-03-30,2023-05-11,1,664.51
BCS000276,CL2465,STY008,Yes,2021-05-11,2022-04-12,8,602.78
BCS000277,CL0306,STY038,Yes,2022-11-22,2023-08-01,6,475.16
BCS000278,CL0306,STY048,No,2021-11-30,2022-09-20,7,777.37
BCS000279,CL0154,STY031,Yes,2024-04-02,2024-06-25,2,210.63
BCS000280,CL0154,STY071,No,2024-10-08,2025-05-06,5,849.39
BCS000281,CL2388,STY020,Yes,2020-10-24,2021-07-03,6,681.78
BCS000282,CL2617,STY014,Yes,2024-07-14,2025-02-09,5,147.65
BCS000283,CL2617,STY057,No,2023-05-14,2023-09-17,3,338.62
BCS000284,CL1794,STY009,Yes,2024-08-31,2025-08-02,8,750.07
BCS000285,CL1794,STY033,No,2021-01-02,2021-03-27,2,713.27
BCS000286,CL1845,STY025,Yes,2020-09-05,2021-06-26,7,271.12
BCS000287,CL1845,STY052,No,2023-05-10,2023-12-06,5,365.3
BCS000288,CL1845,STY005,No,2020-07-19,2021-01-03,4,641.11
BCS000289,CL2847,STY041,Yes,2021-04-23,2021-07-16,2,332.03
BCS000290,CL1829,STY007,Yes,2023-05-20,2023-11-04,4,101.55
BCS000291,CL2203,STY061,Yes,2022-12-03,2023-08-12,6,680.25
BCS000292,CL2203,STY052,No,2023-06-27,2023-08-08,1,586.21
BCS000293,CL0219,STY040,Yes,2022-01-12,2022-12-14,8,197.39
BCS000294,CL0583,STY005,Yes,2023-02-25,2023-07-01,3,625.48
BCS000295,CL0951,STY025,Yes,2021-11-04,2022-01-27,2,411.0
BCS000296,CL2806,STY009,Yes,2024-12-01,2025-05-18,4,257.92
BCS000297,CL2978,STY025,Yes,2022-07-16,2022-08-27,1,456.06
BCS000298,CL2978,STY055,No,2020-10-05,2020-12-28,2,456.51
BCS000299,CL2571,STY038,Yes,2020-01-23,2020-05-28,3,325.75
BCS000300,CL1094,STY022,Yes,2020-07-11,2020-12-26,4,707.12
BCS000301,CL1094,STY035,No,2020-05-05,2021-02-23,7,603.65
BCS000302,CL1463,STY031,Yes,2022-06-07,2023-02-14,6,327.95
BCS000303,CL1747,STY070,Yes,2020-07-23,2021-02-18,5,314.09
BCS000304,CL2099,STY071,Yes,2024-11-22,2025-06-20,5,212.25
BCS000305,CL1196,STY004,Yes,2021-05-16,2022-01-23,6,100.53
BCS000306,CL1196,STY021,No,2023-05-15,2023-12-11,5,426.61
BCS000307,CL1196,STY036,No,2021-12-19,2022-03-13,2,184.1
BCS000308,CL2840,STY055,Yes,2021-11-19,2022-09-09,7,842.22
BCS000309,CL2840,STY009,No,2020-01-17,2020-08-14,5,172.8
BCS000310,CL1688,STY025,Yes,2023-06-25,2023-09-17,2,772.43
BCS000311,CL1938,STY041,Yes,2021-09-29,2022-02-02,3,321.56
BCS000312,CL2354,STY012,Yes,2023-11-02,2023-12-14,1,478.97
BCS000313,CL1202,STY050,Yes,2023-09-28,2023-12-21,2,115.51
BCS000314,CL1202,STY010,No,2021-02-12,2021-10-22,6,384.41
BCS000315,CL0102,STY024,Yes,2023-04-30,2023-09-03,3,121.6
BCS000316,CL0102,STY074,No,2020-12-23,2021-06-09,4,457.62
BCS000317,CL0950,STY056,Yes,2023-05-13,2023-09-16,3,680.4
BCS000318,CL0950,STY055,No,2023-03-13,2023-11-20,6,271.46
BCS000319,CL1734,STY012,Yes,2023-03-10,2023-10-06,5,165.11
BCS000320,CL1751,STY070,Yes,2024-05-21,2024-11-05,4,554.67
BCS000321,CL1222,STY030,Yes,2024-05-23,2024-12-19,5,190.75
BCS000322,CL0089,STY020,Yes,2020-01-05,2020-10-25,7,415.6
BCS000323,CL0089,STY038,No,2020-12-29,2021-06-15,4,298.97
BCS000324,CL2988,STY039,Yes,2023-10-13,2024-03-29,4,813.97
BCS000325,CL1770,STY061,Yes,2022-01-29,2022-04-23,2,804.0
BCS000326,CL0893,STY049,Yes,2023-06-07,2024-01-03,5,647.4
BCS000327,CL0893,STY056,No,2022-11-05,2023-08-26,7,680.91
BCS000328,CL0552,STY037,Yes,2020-12-25,2021-07-23,5,283.06
BCS000329,CL2512,STY050,Yes,2023-06-24,2023-10-28,3,513.64
BCS000330,CL1308,STY058,Yes,2021-07-04,2021-12-19,4,351.72
BCS000331,CL1966,STY074,Yes,2020-11-30,2021-08-09,6,554.63
BCS000332,CL1966,STY045,No,2024-12-05,2025-11-06,8,731.86
BCS000333,CL0896,STY032,Yes,2022-05-24,2023-03-14,7,308.95
BCS000334,CL0896,STY073,No,2021-03-05,2021-11-12,6,548.71
BCS000335,CL2043,STY061,Yes,2021-11-03,2021-12-15,1,290.25
BCS000336,CL2043,STY052,No,2020-09-12,2021-02-27,4,98.42
BCS000337,CL2073,STY044,Yes,2020-10-06,2021-09-07,8,255.26
BCS000338,CL2073,STY036,No,2021-07-16,2022-02-11,5,653.38
BCS000339,CL2712,STY052,Yes,2022-11-23,2023-09-13,7,419.42
BCS000340,CL2712,STY049,No,2023-04-21,2023-11-17,5,440.02
BCS000341,CL0854,STY014,Yes,2022-07-26,2022-09-06,1,753.5
BCS000342,CL0488,STY056,Yes,2020-06-23,2021-01-19,5,564.03
BCS000343,CL0488,STY007,No,2020-06-17,2020-09-09,2,114.87
BCS000344,CL1455,STY068,Yes,2024-06-18,2025-05-20,8,172.48
BCS000345,CL1455,STY034,No,2022-03-14,2023-02-13,8,721.1
BCS000346,CL2386,STY042,Yes,2020-01-01,2020-09-09,6,152.81
BCS000347,CL2041,STY055,Yes,2023-11-06,2024-01-29,2,385.19
BCS000348,CL2041,STY003,No,2023-09-18,2024-04-15,5,291.87
BCS000349,CL1500,STY024,Yes,2021-08-04,2022-01-19,4,827.09
BCS000350,CL1500,STY027,No,2022-01-23,2022-11-13,7,529.49
BCS000351,CL1856,STY036,Yes,2021-10-25,2021-12-06,1,582.51
BCS000352,CL0657,STY053,Yes,2024-06-07,2024-11-22,4,460.78
BCS000353,CL0657,STY074,No,2021-09-28,2021-11-09,1,197.46
BCS000354,CL2464,STY034,Yes,2024-06-16,2025-04-06,7,149.44
BCS000355,CL2464,STY023,No,2024-08-29,2025-01-02,3,774.13
BCS000356,CL2742,STY016,Yes,2020-03-09,2020-07-13,3,344.48
BCS000357,CL2742,STY039,No,2024-10-31,2025-04-17,4,501.88
BCS000358,CL0604,STY063,Yes,2024-03-04,2024-07-08,3,665.46
BCS000359,CL0604,STY055,No,2024-11-26,2025-06-24,5,483.19
BCS000360,CL2714,STY053,Yes,2022-11-25,2023-06-23,5,527.59
BCS000361,CL2714,STY032,No,2024-04-02,2025-01-21,7,743.89
