SaleID,Date,ConsultantID,StylistID,ClientID,ProductID,ProductName,Category,Season,Quantity,Revenue_GBP,SaleType,Year,MonthName,QuarterYear
PS000033,2023-01-05,CON012,STY036,CL1088,PR17,Style Guide Book,Books,All,1,24,Gift,2023,January,Q1 2023
PS000034,2023-01-05,CON021,STY059,CL2853,PR06,Silk Scarf — Summer,Accessories,Summer,2,136,Follow-up,2023,January,Q1 2023
PS000035,2023-01-05,CON021,STY058,CL2263,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Gift,2023,January,Q1 2023
PS000036,2023-01-05,CON021,STY058,CL0880,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Post-Consultation,2023,January,Q1 2023
PS000037,2023-01-05,CON009,STY026,CL2872,PR07,Silk Scarf — Autumn,Accessories,Autumn,1,68,Follow-up,2023,January,Q1 2023
PS000038,2023-01-05,CON009,STY027,CL2455,PR17,Style Guide Book,Books,All,1,24,Follow-up,2023,January,Q1 2023
PS000039,2023-01-05,CON010,STY030,CL2210,PR03,Colour Fan — Autumn,Colour Tools,Autumn,2,84,Gift,2023,January,Q1 2023
PS000040,2023-01-05,CON015,STY043,CL1716,PR13,Lipstick — Terracotta,Cosmetics,Autumn,1,18,Online,2023,January,Q1 2023
PS000041,2023-01-05,CON003,STY008,CL1398,PR04,Colour Fan — Winter,Colour Tools,Winter,1,42,Gift,2023,January,Q1 2023
PS000042,2023-01-05,CON003,STY009,CL0820,PR04,Colour Fan — Winter,Colour Tools,Winter,1,42,Gift,2023,January,Q1 2023
PS000043,2023-01-06,CON015,STY042,CL0689,PR20,Gift Voucher £50,Gift,All,3,150,Online,2023,January,Q1 2023
PS000044,2023-01-06,CON015,STY043,CL2918,PR10,Foundation — Cool,Cosmetics,Summer/Winter,1,28,Post-Consultation,2023,January,Q1 2023
PS000045,2023-01-06,CON015,STY042,CL2889,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Post-Consultation,2023,January,Q1 2023
PS000046,2023-01-06,CON013,STY037,CL0223,PR13,Lipstick — Terracotta,Cosmetics,Autumn,1,18,Gift,2023,January,Q1 2023
PS000047,2023-01-06,CON002,STY004,CL1456,PR07,Silk Scarf — Autumn,Accessories,Autumn,1,68,Gift,2023,January,Q1 2023
PS000048,2023-01-06,CON009,STY025,CL0585,PR06,Silk Scarf — Summer,Accessories,Summer,2,136,Online,2023,January,Q1 2023
PS000049,2023-01-06,CON004,STY013,CL0358,PR02,Colour Fan — Summer,Colour Tools,Summer,3,126,Online,2023,January,Q1 2023
PS000050,2023-01-06,CON004,STY010,CL0126,PR01,Colour Fan — Spring,Colour Tools,Spring,2,84,Post-Consultation,2023,January,Q1 2023
PS000051,2023-01-06,CON019,STY053,CL1090,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Gift,2023,January,Q1 2023
PS000052,2023-01-07,CON013,STY038,CL2065,PR19,Shopping Guide Card,Books,All,1,8,Gift,2023,January,Q1 2023
PS000053,2023-01-07,CON005,STY017,CL0359,PR07,Silk Scarf — Autumn,Accessories,Autumn,1,68,Post-Consultation,2023,January,Q1 2023
PS000054,2023-01-07,CON005,STY014,CL2521,PR03,Colour Fan — Autumn,Colour Tools,Autumn,2,84,Gift,2023,January,Q1 2023
PS000055,2023-01-07,CON019,STY054,CL0164,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Online,2023,January,Q1 2023
PS000056,2023-01-07,CON003,STY008,CL2476,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Post-Consultation,2023,January,Q1 2023
PS000057,2023-01-07,CON021,STY059,CL1230,PR01,Colour Fan — Spring,Colour Tools,Spring,1,42,Post-Consultation,2023,January,Q1 2023
PS000058,2023-01-07,CON021,STY059,CL0639,PR10,Foundation — Cool,Cosmetics,Summer/Winter,1,28,Post-Consultation,2023,January,Q1 2023
PS000059,2023-01-07,CON008,STY024,CL2924,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Follow-up,2023,January,Q1 2023
PS000060,2023-01-07,CON011,STY032,CL2431,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Gift,2023,January,Q1 2023
PS000061,2023-01-09,CON005,STY014,CL0408,PR11,Lipstick — Coral,Cosmetics,Spring,1,18,Gift,2023,January,Q1 2023
PS000062,2023-01-09,CON005,STY016,CL1718,PR18,Colour Journal,Books,All,1,18,Gift,2023,January,Q1 2023
PS000063,2023-01-09,CON010,STY029,CL2970,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,3,105,Online,2023,January,Q1 2023
PS000064,2023-01-09,CON010,STY030,CL0120,PR14,Lipstick — Berry,Cosmetics,Winter,3,54,Follow-up,2023,January,Q1 2023
PS000065,2023-01-09,CON010,STY030,CL1938,PR05,Silk Scarf — Spring,Accessories,Spring,1,68,Online,2023,January,Q1 2023
PS000066,2023-01-09,CON011,STY032,CL1136,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Gift,2023,January,Q1 2023
PS000067,2023-01-09,CON011,STY032,CL1653,PR12,Lipstick — Rose,Cosmetics,Summer,3,54,Gift,2023,January,Q1 2023
PS000068,2023-01-09,CON012,STY035,CL2890,PR19,Shopping Guide Card,Books,All,1,8,Follow-up,2023,January,Q1 2023
PS000069,2023-01-09,CON012,STY034,CL2472,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Online,2023,January,Q1 2023
PS000070,2023-01-09,CON015,STY043,CL0594,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Post-Consultation,2023,January,Q1 2023
PS000071,2023-01-09,CON007,STY020,CL0546,PR13,Lipstick — Terracotta,Cosmetics,Autumn,1,18,Post-Consultation,2023,January,Q1 2023
PS000072,2023-01-10,CON002,STY004,CL0304,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Gift,2023,January,Q1 2023
PS000073,2023-01-10,CON002,STY006,CL1203,PR20,Gift Voucher £50,Gift,All,1,50,Follow-up,2023,January,Q1 2023
PS000074,2023-01-10,CON002,STY004,CL2059,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Follow-up,2023,January,Q1 2023
PS000075,2023-01-10,CON012,STY034,CL0580,PR02,Colour Fan — Summer,Colour Tools,Summer,1,42,Online,2023,January,Q1 2023
PS000076,2023-01-10,CON013,STY038,CL0762,PR17,Style Guide Book,Books,All,1,24,Post-Consultation,2023,January,Q1 2023
PS000077,2023-01-10,CON018,STY051,CL2542,PR20,Gift Voucher £50,Gift,All,2,100,Post-Consultation,2023,January,Q1 2023
PS000078,2023-01-10,CON021,STY058,CL1526,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Post-Consultation,2023,January,Q1 2023
PS000079,2023-01-10,CON021,STY058,CL1414,PR22,Gift Voucher £150,Gift,All,1,150,Follow-up,2023,January,Q1 2023
PS000080,2023-01-10,CON017,STY048,CL1617,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Online,2023,January,Q1 2023
PS000081,2023-01-10,CON017,STY048,CL2041,PR17,Style Guide Book,Books,All,1,24,Online,2023,January,Q1 2023
PS000082,2023-01-10,CON017,STY048,CL1896,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Post-Consultation,2023,January,Q1 2023
PS000083,2023-01-10,CON025,STY072,CL0906,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Gift,2023,January,Q1 2023
PS000084,2023-01-10,CON003,STY007,CL2132,PR20,Gift Voucher £50,Gift,All,1,50,Follow-up,2023,January,Q1 2023
PS000085,2023-01-10,CON006,STY019,CL2332,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Follow-up,2023,January,Q1 2023
PS000086,2023-01-10,CON006,STY019,CL1271,PR22,Gift Voucher £150,Gift,All,2,300,Post-Consultation,2023,January,Q1 2023
PS000087,2023-01-10,CON010,STY030,CL0772,PR02,Colour Fan — Summer,Colour Tools,Summer,1,42,Online,2023,January,Q1 2023
PS000088,2023-01-11,CON020,STY056,CL0115,PR13,Lipstick — Terracotta,Cosmetics,Autumn,3,54,Gift,2023,January,Q1 2023
PS000089,2023-01-11,CON014,STY040,CL1225,PR06,Silk Scarf — Summer,Accessories,Summer,1,68,Online,2023,January,Q1 2023
PS000090,2023-01-11,CON014,STY041,CL0278,PR01,Colour Fan — Spring,Colour Tools,Spring,1,42,Online,2023,January,Q1 2023
PS000091,2023-01-11,CON014,STY040,CL1804,PR11,Lipstick — Coral,Cosmetics,Spring,1,18,Online,2023,January,Q1 2023
PS000092,2023-01-11,CON024,STY071,CL1114,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Online,2023,January,Q1 2023
PS000093,2023-01-11,CON010,STY030,CL0298,PR21,Gift Voucher £100,Gift,All,1,100,Online,2023,January,Q1 2023
PS000094,2023-01-11,CON022,STY064,CL0138,PR13,Lipstick — Terracotta,Cosmetics,Autumn,1,18,Post-Consultation,2023,January,Q1 2023
PS000095,2023-01-11,CON025,STY073,CL2248,PR17,Style Guide Book,Books,All,1,24,Online,2023,January,Q1 2023
PS000096,2023-01-11,CON002,STY006,CL1269,PR03,Colour Fan — Autumn,Colour Tools,Autumn,1,42,Post-Consultation,2023,January,Q1 2023
PS000097,2023-01-11,CON002,STY006,CL2036,PR02,Colour Fan — Summer,Colour Tools,Summer,1,42,Follow-up,2023,January,Q1 2023
PS000098,2023-01-11,CON017,STY047,CL2175,PR19,Shopping Guide Card,Books,All,1,8,Follow-up,2023,January,Q1 2023
PS000099,2023-01-11,CON017,STY048,CL1697,PR21,Gift Voucher £100,Gift,All,1,100,Follow-up,2023,January,Q1 2023
PS000100,2023-01-12,CON024,STY068,CL2454,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Post-Consultation,2023,January,Q1 2023
PS000101,2023-01-12,CON016,STY044,CL0484,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Online,2023,January,Q1 2023
PS000102,2023-01-12,CON016,STY044,CL1793,PR21,Gift Voucher £100,Gift,All,1,100,Follow-up,2023,January,Q1 2023
PS000103,2023-01-12,CON010,STY029,CL0763,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Online,2023,January,Q1 2023
PS000104,2023-01-12,CON010,STY029,CL0623,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Post-Consultation,2023,January,Q1 2023
PS000105,2023-01-12,CON010,STY030,CL1463,PR22,Gift Voucher £150,Gift,All,1,150,Gift,2023,January,Q1 2023
PS000106,2023-01-12,CON006,STY018,CL1893,PR05,Silk Scarf — Spring,Accessories,Spring,2,136,Online,2023,January,Q1 2023
PS000107,2023-01-12,CON006,STY018,CL0939,PR01,Colour Fan — Spring,Colour Tools,Spring,1,42,Follow-up,2023,January,Q1 2023
PS000108,2023-01-13,CON025,STY073,CL0370,PR18,Colour Journal,Books,All,1,18,Online,2023,January,Q1 2023
PS000109,2023-01-13,CON025,STY073,CL1476,PR18,Colour Journal,Books,All,2,36,Post-Consultation,2023,January,Q1 2023
PS000110,2023-01-13,CON010,STY029,CL2484,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Gift,2023,January,Q1 2023
PS000111,2023-01-13,CON010,STY030,CL1872,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Follow-up,2023,January,Q1 2023
PS000112,2023-01-13,CON008,STY023,CL1023,PR07,Silk Scarf — Autumn,Accessories,Autumn,1,68,Post-Consultation,2023,January,Q1 2023
PS000113,2023-01-13,CON014,STY041,CL1176,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Follow-up,2023,January,Q1 2023
PS000114,2023-01-13,CON007,STY022,CL0991,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Post-Consultation,2023,January,Q1 2023
PS000115,2023-01-13,CON005,STY016,CL0822,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Post-Consultation,2023,January,Q1 2023
PS000116,2023-01-13,CON005,STY015,CL0032,PR03,Colour Fan — Autumn,Colour Tools,Autumn,2,84,Gift,2023,January,Q1 2023
PS000117,2023-01-13,CON005,STY014,CL0546,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,2,70,Follow-up,2023,January,Q1 2023
PS000118,2023-01-14,CON025,STY074,CL2741,PR06,Silk Scarf — Summer,Accessories,Summer,1,68,Post-Consultation,2023,January,Q1 2023
PS000119,2023-01-14,CON025,STY072,CL1915,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Follow-up,2023,January,Q1 2023
PS000120,2023-01-14,CON014,STY040,CL1913,PR01,Colour Fan — Spring,Colour Tools,Spring,2,84,Post-Consultation,2023,January,Q1 2023
PS000121,2023-01-14,CON014,STY041,CL2946,PR02,Colour Fan — Summer,Colour Tools,Summer,2,84,Post-Consultation,2023,January,Q1 2023
PS000122,2023-01-14,CON014,STY040,CL1795,PR04,Colour Fan — Winter,Colour Tools,Winter,1,42,Gift,2023,January,Q1 2023
PS000123,2023-01-14,CON007,STY021,CL1420,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Follow-up,2023,January,Q1 2023
PS000124,2023-01-14,CON024,STY071,CL0427,PR19,Shopping Guide Card,Books,All,1,8,Gift,2023,January,Q1 2023
PS000125,2023-01-14,CON020,STY056,CL1530,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Follow-up,2023,January,Q1 2023
PS000126,2023-01-14,CON020,STY056,CL1959,PR11,Lipstick — Coral,Cosmetics,Spring,2,36,Follow-up,2023,January,Q1 2023
PS000127,2023-01-16,CON012,STY035,CL0524,PR13,Lipstick — Terracotta,Cosmetics,Autumn,2,36,Follow-up,2023,January,Q1 2023
PS000128,2023-01-16,CON012,STY034,CL1855,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Post-Consultation,2023,January,Q1 2023
PS000129,2023-01-16,CON012,STY036,CL1268,PR13,Lipstick — Terracotta,Cosmetics,Autumn,2,36,Post-Consultation,2023,January,Q1 2023
PS000130,2023-01-16,CON001,STY002,CL1083,PR18,Colour Journal,Books,All,1,18,Follow-up,2023,January,Q1 2023
PS000131,2023-01-16,CON001,STY002,CL0474,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Online,2023,January,Q1 2023
PS000132,2023-01-16,CON023,STY066,CL1169,PR11,Lipstick — Coral,Cosmetics,Spring,1,18,Post-Consultation,2023,January,Q1 2023
PS000133,2023-01-16,CON023,STY067,CL2242,PR22,Gift Voucher £150,Gift,All,3,450,Online,2023,January,Q1 2023
PS000134,2023-01-16,CON023,STY066,CL2993,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Gift,2023,January,Q1 2023
PS000135,2023-01-17,CON012,STY034,CL2709,PR04,Colour Fan — Winter,Colour Tools,Winter,1,42,Gift,2023,January,Q1 2023
PS000136,2023-01-17,CON015,STY042,CL0168,PR19,Shopping Guide Card,Books,All,2,16,Gift,2023,January,Q1 2023
PS000137,2023-01-17,CON015,STY042,CL0911,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Gift,2023,January,Q1 2023
PS000138,2023-01-17,CON025,STY073,CL0799,PR11,Lipstick — Coral,Cosmetics,Spring,1,18,Follow-up,2023,January,Q1 2023
PS000139,2023-01-17,CON025,STY073,CL2795,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Online,2023,January,Q1 2023
PS000140,2023-01-17,CON005,STY016,CL2873,PR08,Silk Scarf — Winter,Accessories,Winter,2,136,Gift,2023,January,Q1 2023
PS000141,2023-01-17,CON005,STY015,CL2294,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Follow-up,2023,January,Q1 2023
PS000142,2023-01-17,CON006,STY019,CL1973,PR21,Gift Voucher £100,Gift,All,2,200,Online,2023,January,Q1 2023
PS000143,2023-01-18,CON021,STY059,CL1437,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Post-Consultation,2023,January,Q1 2023
PS000144,2023-01-18,CON024,STY068,CL2162,PR19,Shopping Guide Card,Books,All,1,8,Gift,2023,January,Q1 2023
PS000145,2023-01-18,CON024,STY070,CL1365,PR19,Shopping Guide Card,Books,All,1,8,Post-Consultation,2023,January,Q1 2023
PS000146,2023-01-18,CON024,STY068,CL1056,PR06,Silk Scarf — Summer,Accessories,Summer,1,68,Gift,2023,January,Q1 2023
PS000147,2023-01-18,CON013,STY037,CL0448,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Online,2023,January,Q1 2023
PS000148,2023-01-18,CON013,STY038,CL0062,PR21,Gift Voucher £100,Gift,All,2,200,Online,2023,January,Q1 2023
PS000149,2023-01-18,CON018,STY052,CL1795,PR02,Colour Fan — Summer,Colour Tools,Summer,2,84,Gift,2023,January,Q1 2023
PS000150,2023-01-18,CON018,STY050,CL0749,PR07,Silk Scarf — Autumn,Accessories,Autumn,1,68,Post-Consultation,2023,January,Q1 2023
PS000151,2023-01-18,CON004,STY013,CL0933,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Follow-up,2023,January,Q1 2023
PS000152,2023-01-18,CON004,STY013,CL2877,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Post-Consultation,2023,January,Q1 2023
PS000153,2023-01-18,CON004,STY013,CL1717,PR02,Colour Fan — Summer,Colour Tools,Summer,1,42,Follow-up,2023,January,Q1 2023
PS000154,2023-01-18,CON002,STY006,CL0606,PR02,Colour Fan — Summer,Colour Tools,Summer,1,42,Follow-up,2023,January,Q1 2023
PS000155,2023-01-18,CON001,STY002,CL0267,PR19,Shopping Guide Card,Books,All,1,8,Post-Consultation,2023,January,Q1 2023
PS000156,2023-01-18,CON006,STY018,CL2457,PR20,Gift Voucher £50,Gift,All,1,50,Post-Consultation,2023,January,Q1 2023
PS000157,2023-01-18,CON006,STY018,CL1863,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Post-Consultation,2023,January,Q1 2023
PS000158,2023-01-19,CON016,STY046,CL0255,PR03,Colour Fan — Autumn,Colour Tools,Autumn,1,42,Gift,2023,January,Q1 2023
PS000159,2023-01-19,CON009,STY028,CL0073,PR18,Colour Journal,Books,All,1,18,Post-Consultation,2023,January,Q1 2023
PS000160,2023-01-19,CON014,STY041,CL1556,PR17,Style Guide Book,Books,All,1,24,Follow-up,2023,January,Q1 2023
PS000161,2023-01-19,CON020,STY056,CL1695,PR01,Colour Fan — Spring,Colour Tools,Spring,1,42,Online,2023,January,Q1 2023
PS000162,2023-01-19,CON010,STY029,CL2754,PR19,Shopping Guide Card,Books,All,1,8,Follow-up,2023,January,Q1 2023
PS000163,2023-01-19,CON006,STY019,CL0424,PR07,Silk Scarf — Autumn,Accessories,Autumn,1,68,Online,2023,January,Q1 2023
PS000164,2023-01-19,CON023,STY067,CL0627,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Follow-up,2023,January,Q1 2023
PS000165,2023-01-19,CON021,STY058,CL0452,PR21,Gift Voucher £100,Gift,All,1,100,Gift,2023,January,Q1 2023
PS000166,2023-01-20,CON020,STY055,CL1233,PR12,Lipstick — Rose,Cosmetics,Summer,2,36,Gift,2023,January,Q1 2023
PS000167,2023-01-20,CON021,STY060,CL0025,PR11,Lipstick — Coral,Cosmetics,Spring,2,36,Gift,2023,January,Q1 2023
PS000168,2023-01-20,CON021,STY058,CL2377,PR11,Lipstick — Coral,Cosmetics,Spring,3,54,Post-Consultation,2023,January,Q1 2023
PS000169,2023-01-20,CON002,STY003,CL1433,PR20,Gift Voucher £50,Gift,All,1,50,Gift,2023,January,Q1 2023
PS000170,2023-01-20,CON002,STY004,CL0853,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Online,2023,January,Q1 2023
PS000171,2023-01-20,CON008,STY024,CL1765,PR01,Colour Fan — Spring,Colour Tools,Spring,3,126,Online,2023,January,Q1 2023
PS000172,2023-01-20,CON018,STY052,CL2975,PR17,Style Guide Book,Books,All,1,24,Online,2023,January,Q1 2023
PS000173,2023-01-20,CON003,STY008,CL1482,PR21,Gift Voucher £100,Gift,All,1,100,Post-Consultation,2023,January,Q1 2023
PS000174,2023-01-20,CON005,STY015,CL0018,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Follow-up,2023,January,Q1 2023
PS000175,2023-01-20,CON005,STY015,CL2109,PR04,Colour Fan — Winter,Colour Tools,Winter,1,42,Online,2023,January,Q1 2023
PS000176,2023-01-20,CON005,STY014,CL1169,PR06,Silk Scarf — Summer,Accessories,Summer,1,68,Online,2023,January,Q1 2023
PS000177,2023-01-20,CON023,STY067,CL0618,PR04,Colour Fan — Winter,Colour Tools,Winter,1,42,Follow-up,2023,January,Q1 2023
PS000178,2023-01-20,CON012,STY034,CL1427,PR02,Colour Fan — Summer,Colour Tools,Summer,1,42,Follow-up,2023,January,Q1 2023
PS000179,2023-01-21,CON001,STY001,CL1925,PR21,Gift Voucher £100,Gift,All,1,100,Gift,2023,January,Q1 2023
PS000180,2023-01-21,CON021,STY061,CL0020,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Follow-up,2023,January,Q1 2023
PS000181,2023-01-21,CON023,STY066,CL1997,PR02,Colour Fan — Summer,Colour Tools,Summer,1,42,Gift,2023,January,Q1 2023
PS000182,2023-01-21,CON003,STY007,CL2154,PR06,Silk Scarf — Summer,Accessories,Summer,3,204,Follow-up,2023,January,Q1 2023
PS000183,2023-01-21,CON003,STY009,CL2520,PR20,Gift Voucher £50,Gift,All,1,50,Follow-up,2023,January,Q1 2023
PS000184,2023-01-21,CON014,STY041,CL0943,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Gift,2023,January,Q1 2023
PS000185,2023-01-21,CON014,STY041,CL1594,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,1,35,Post-Consultation,2023,January,Q1 2023
PS000186,2023-01-21,CON020,STY057,CL2039,PR12,Lipstick — Rose,Cosmetics,Summer,3,54,Follow-up,2023,January,Q1 2023
PS000187,2023-01-21,CON020,STY057,CL1029,PR05,Silk Scarf — Spring,Accessories,Spring,1,68,Gift,2023,January,Q1 2023
PS000188,2023-01-21,CON020,STY056,CL0725,PR07,Silk Scarf — Autumn,Accessories,Autumn,1,68,Gift,2023,January,Q1 2023
PS000189,2023-01-21,CON025,STY073,CL0034,PR06,Silk Scarf — Summer,Accessories,Summer,2,136,Post-Consultation,2023,January,Q1 2023
PS000190,2023-01-23,CON016,STY045,CL2567,PR11,Lipstick — Coral,Cosmetics,Spring,2,36,Online,2023,January,Q1 2023
PS000191,2023-01-23,CON001,STY001,CL2701,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Gift,2023,January,Q1 2023
PS000192,2023-01-23,CON001,STY002,CL1595,PR18,Colour Journal,Books,All,1,18,Post-Consultation,2023,January,Q1 2023
PS000193,2023-01-23,CON020,STY055,CL2649,PR08,Silk Scarf — Winter,Accessories,Winter,2,136,Post-Consultation,2023,January,Q1 2023
