ReferralID,ReferrerClientID,ReferredClientID,ReferralDate,Converted,ReferralChannel,FirstServiceBooked,RevenueGenerated_GBP,Year,QuarterYear
REF000023,CL1954,CL0555,2025-05-10,Yes,Email,Makeup Lesson,377.63,2025,Q2 2025
REF000024,CL2237,CL2201,2025-03-15,Yes,Social Media Post,Colour Analysis,340.76,2025,Q1 2025
REF000025,CL1786,CL0636,2024-07-18,Yes,Word of Mouth,Colour Analysis,358.08,2024,Q3 2024
REF000026,CL1377,CL0414,2023-03-10,Yes,Word of Mouth,Style Analysis,335.68,2023,Q1 2023
REF000027,CL2782,CL0232,2023-10-14,Yes,WhatsApp,Style Analysis,360.13,2023,Q4 2023
REF000028,CL0677,CL2755,2024-10-18,Yes,Social Media Post,Style Analysis,229.41,2024,Q4 2024
REF000029,CL1915,CL2424,2023-12-25,Yes,Email,Makeup Lesson,110.24,2023,Q4 2023
REF000030,CL0523,CL1562,2025-12-10,Yes,Email,Makeup Lesson,143.5,2025,Q4 2025
REF000031,CL2425,CL1897,2023-04-29,Yes,Email,Style Analysis,221.24,2023,Q2 2023
REF000032,CL2425,CL1045,2024-02-21,Yes,Word of Mouth,Makeup Lesson,370.32,2024,Q1 2024
REF000033,CL2312,CL0781,2023-04-16,Yes,In-Person,Colour Analysis,378.93,2023,Q2 2023
REF000034,CL2312,CL0771,2024-03-20,Yes,WhatsApp,Colour & Style Combined,406.03,2024,Q1 2024
REF000035,CL2716,CL0481,2025-09-07,No,In-Person,Style Analysis,0,2025,Q3 2025
REF000036,CL2716,CL1625,2024-05-05,Yes,WhatsApp,Makeup Lesson,246.53,2024,Q2 2024
REF000037,CL2716,CL2658,2025-01-05,Yes,WhatsApp,Makeup Lesson,246.45,2025,Q1 2025
REF000038,CL1756,CL1282,2025-04-27,Yes,Social Media Post,Style Analysis,100.27,2025,Q2 2025
REF000039,CL0206,CL0943,2025-02-16,Yes,Social Media Post,Makeup Lesson,273.96,2025,Q1 2025
REF000040,CL1553,CL2002,2025-10-01,Yes,WhatsApp,Style Analysis,140.49,2025,Q4 2025
REF000041,CL1553,CL2239,2025-09-27,Yes,In-Person,Colour Analysis,265.28,2025,Q3 2025
REF000042,CL0867,CL0199,2023-01-14,Yes,Social Media Post,Colour Analysis,324.83,2023,Q1 2023
REF000043,CL0867,CL0038,2024-03-23,Yes,WhatsApp,Colour Analysis,295.8,2024,Q1 2024
REF000044,CL1140,CL0049,2023-02-04,Yes,WhatsApp,Colour & Style Combined,100.57,2023,Q1 2023
REF000045,CL0080,CL0610,2024-05-08,Yes,In-Person,Colour & Style Combined,359.94,2024,Q2 2024
REF000046,CL2210,CL1529,2025-04-11,Yes,Social Media Post,Style Analysis,192.49,2025,Q2 2025
REF000047,CL1434,CL2662,2023-03-06,Yes,Email,Makeup Lesson,274.63,2023,Q1 2023
REF000048,CL1434,CL0230,2023-01-20,No,Word of Mouth,Makeup Lesson,0,2023,Q1 2023
REF000049,CL1434,CL1778,2024-11-09,Yes,Word of Mouth,Colour Analysis,169.67,2024,Q4 2024
REF000050,CL2670,CL2804,2024-07-28,No,In-Person,Colour Analysis,0,2024,Q3 2024
REF000051,CL2670,CL0735,2024-10-06,Yes,Social Media Post,Style Analysis,339.48,2024,Q4 2024
REF000052,CL2670,CL2920,2025-03-26,No,WhatsApp,Style Analysis,0,2025,Q1 2025
REF000053,CL1940,CL1417,2023-04-20,Yes,Social Media Post,Colour Analysis,205.69,2023,Q2 2023
REF000054,CL1940,CL2515,2025-03-23,No,WhatsApp,Colour Analysis,0,2025,Q1 2025
REF000055,CL0893,CL1538,2025-06-03,Yes,In-Person,Makeup Lesson,122.85,2025,Q2 2025
REF000056,CL1511,CL2916,2023-11-12,No,WhatsApp,Colour & Style Combined,0,2023,Q4 2023
REF000057,CL0688,CL1263,2025-06-29,Yes,WhatsApp,Colour Analysis,138.06,2025,Q2 2025
REF000058,CL2482,CL2273,2025-11-15,Yes,Word of Mouth,Colour Analysis,210.02,2025,Q4 2025
REF000059,CL2488,CL1329,2025-02-27,Yes,Email,Makeup Lesson,348.23,2025,Q1 2025
REF000060,CL0443,CL2808,2025-02-18,Yes,WhatsApp,Colour & Style Combined,182.23,2025,Q1 2025
REF000061,CL2371,CL1131,2025-05-12,Yes,Word of Mouth,Colour & Style Combined,176.8,2025,Q2 2025
REF000062,CL0106,CL2433,2024-02-05,Yes,Social Media Post,Colour & Style Combined,97.2,2024,Q1 2024
REF000063,CL2570,CL2848,2024-02-16,Yes,Social Media Post,Makeup Lesson,409.84,2024,Q1 2024
REF000064,CL0995,CL2012,2024-05-11,Yes,WhatsApp,Makeup Lesson,213.63,2024,Q2 2024
REF000065,CL0995,CL2310,2024-02-14,Yes,In-Person,Style Analysis,316.56,2024,Q1 2024
REF000066,CL0496,CL1676,2025-10-19,Yes,WhatsApp,Style Analysis,177.12,2025,Q4 2025
REF000067,CL0496,CL0632,2025-05-16,No,Word of Mouth,Makeup Lesson,0,2025,Q2 2025
REF000068,CL2967,CL2694,2024-12-28,Yes,In-Person,Colour Analysis,278.05,2024,Q4 2024
REF000069,CL2967,CL2643,2025-03-29,No,WhatsApp,Makeup Lesson,0,2025,Q1 2025
REF000070,CL2008,CL0910,2025-11-11,No,In-Person,Style Analysis,0,2025,Q4 2025
REF000071,CL0627,CL0429,2024-08-28,Yes,Word of Mouth,Colour Analysis,365.18,2024,Q3 2024
REF000072,CL0722,CL0848,2025-12-03,Yes,Email,Colour Analysis,237.4,2025,Q4 2025
REF000073,CL2665,CL2912,2023-08-24,Yes,WhatsApp,Colour Analysis,315.07,2023,Q3 2023
REF000074,CL1107,CL1000,2025-11-22,Yes,Social Media Post,Colour & Style Combined,276.95,2025,Q4 2025
REF000075,CL1107,CL1893,2024-04-19,No,Social Media Post,Style Analysis,0,2024,Q2 2024
REF000076,CL1107,CL2624,2025-06-04,Yes,In-Person,Style Analysis,241.11,2025,Q2 2025
REF000077,CL2954,CL1141,2023-05-09,Yes,In-Person,Style Analysis,213.88,2023,Q2 2023
REF000078,CL1981,CL2748,2025-09-29,Yes,WhatsApp,Makeup Lesson,293.68,2025,Q3 2025
REF000079,CL1785,CL2529,2023-12-20,No,WhatsApp,Colour Analysis,0,2023,Q4 2023
REF000080,CL1785,CL2753,2023-10-02,Yes,Social Media Post,Colour & Style Combined,133.01,2023,Q4 2023
REF000081,CL1100,CL2443,2023-10-10,Yes,Email,Style Analysis,253.17,2023,Q4 2023
REF000082,CL1143,CL1184,2023-10-15,Yes,Email,Colour Analysis,376.29,2023,Q4 2023
REF000083,CL1904,CL2301,2025-11-01,Yes,Email,Makeup Lesson,230.08,2025,Q4 2025
REF000084,CL2737,CL0904,2024-08-21,Yes,Social Media Post,Colour & Style Combined,149.67,2024,Q3 2024
REF000085,CL1332,CL2225,2025-01-21,Yes,Word of Mouth,Makeup Lesson,272.56,2025,Q1 2025
REF000086,CL1998,CL1014,2024-09-01,No,Word of Mouth,Makeup Lesson,0,2024,Q3 2024
REF000087,CL1998,CL1077,2024-12-14,No,Word of Mouth,Makeup Lesson,0,2024,Q4 2024
REF000088,CL1454,CL0860,2024-12-19,No,In-Person,Makeup Lesson,0,2024,Q4 2024
REF000089,CL1454,CL0680,2023-10-13,No,Social Media Post,Colour Analysis,0,2023,Q4 2023
REF000090,CL2442,CL1199,2024-08-15,Yes,In-Person,Colour Analysis,139.07,2024,Q3 2024
REF000091,CL2442,CL1686,2023-05-02,No,Social Media Post,Style Analysis,0,2023,Q2 2023
REF000092,CL2442,CL1023,2023-10-27,No,Social Media Post,Makeup Lesson,0,2023,Q4 2023
REF000093,CL0042,CL1852,2023-06-04,Yes,Word of Mouth,Makeup Lesson,262.57,2023,Q2 2023
REF000094,CL2117,CL1512,2025-07-20,No,WhatsApp,Colour Analysis,0,2025,Q3 2025
REF000095,CL2117,CL0382,2025-07-27,Yes,WhatsApp,Colour Analysis,353.6,2025,Q3 2025
REF000096,CL2117,CL1630,2024-03-22,No,Social Media Post,Makeup Lesson,0,2024,Q1 2024
REF000097,CL0783,CL1384,2023-09-25,Yes,Email,Colour & Style Combined,385.6,2023,Q3 2023
REF000098,CL0783,CL0199,2023-04-05,Yes,Email,Colour Analysis,135.38,2023,Q2 2023
REF000099,CL1665,CL0829,2023-09-28,No,WhatsApp,Style Analysis,0,2023,Q3 2023
REF000100,CL1665,CL1123,2023-07-11,Yes,WhatsApp,Colour Analysis,215.85,2023,Q3 2023
REF000101,CL1665,CL2658,2023-12-05,Yes,WhatsApp,Style Analysis,234.5,2023,Q4 2023
REF000102,CL2002,CL0875,2025-09-03,Yes,In-Person,Style Analysis,263.82,2025,Q3 2025
REF000103,CL0985,CL0494,2025-05-14,Yes,Email,Colour Analysis,169.41,2025,Q2 2025
REF000104,CL1951,CL0423,2024-10-03,Yes,WhatsApp,Style Analysis,219.38,2024,Q4 2024
REF000105,CL1951,CL0546,2023-10-20,Yes,In-Person,Colour Analysis,293.35,2023,Q4 2023
REF000106,CL2646,CL0873,2023-11-07,No,In-Person,Makeup Lesson,0,2023,Q4 2023
REF000107,CL1836,CL0505,2025-02-25,Yes,Email,Colour & Style Combined,352.1,2025,Q1 2025
REF000108,CL0071,CL1017,2024-08-06,No,Word of Mouth,Colour & Style Combined,0,2024,Q3 2024
REF000109,CL0382,CL0773,2025-03-13,Yes,Word of Mouth,Style Analysis,255.84,2025,Q1 2025
REF000110,CL1206,CL2433,2023-05-26,Yes,Word of Mouth,Colour & Style Combined,398.53,2023,Q2 2023
REF000111,CL0908,CL2329,2025-05-11,Yes,Social Media Post,Makeup Lesson,405.2,2025,Q2 2025
REF000112,CL0908,CL0299,2023-02-04,Yes,Word of Mouth,Colour & Style Combined,165.12,2023,Q1 2023
REF000113,CL2720,CL1702,2025-05-17,No,Word of Mouth,Style Analysis,0,2025,Q2 2025
REF000114,CL2720,CL1137,2023-06-21,Yes,In-Person,Style Analysis,411.65,2023,Q2 2023
REF000115,CL2383,CL2403,2023-05-16,Yes,Email,Style Analysis,113.82,2023,Q2 2023
REF000116,CL1512,CL1858,2023-04-23,Yes,Social Media Post,Colour Analysis,99.12,2023,Q2 2023
REF000117,CL1939,CL2034,2024-12-11,Yes,WhatsApp,Style Analysis,215.86,2024,Q4 2024
REF000118,CL1743,CL1373,2025-05-29,Yes,Word of Mouth,Colour & Style Combined,326.51,2025,Q2 2025
REF000119,CL1743,CL2362,2023-06-07,Yes,In-Person,Colour & Style Combined,113.02,2023,Q2 2023
REF000120,CL1355,CL0422,2023-08-25,Yes,In-Person,Colour Analysis,109.31,2023,Q3 2023
REF000121,CL1859,CL1569,2023-11-04,Yes,Word of Mouth,Makeup Lesson,167.97,2023,Q4 2023
REF000122,CL1110,CL1311,2024-07-09,No,In-Person,Colour & Style Combined,0,2024,Q3 2024
REF000123,CL1110,CL0490,2025-10-25,Yes,Word of Mouth,Style Analysis,167.54,2025,Q4 2025
REF000124,CL1110,CL2113,2023-04-05,No,Word of Mouth,Makeup Lesson,0,2023,Q2 2023
REF000125,CL0945,CL1871,2023-01-17,Yes,WhatsApp,Colour & Style Combined,335.36,2023,Q1 2023
REF000126,CL0495,CL2021,2024-02-05,No,In-Person,Style Analysis,0,2024,Q1 2024
REF000127,CL0789,CL0098,2024-04-22,Yes,Word of Mouth,Colour & Style Combined,95.48,2024,Q2 2024
REF000128,CL0789,CL2693,2025-02-09,No,WhatsApp,Colour Analysis,0,2025,Q1 2025
REF000129,CL0789,CL0841,2025-12-21,No,Email,Makeup Lesson,0,2025,Q4 2025
REF000130,CL2195,CL0180,2024-04-19,No,In-Person,Makeup Lesson,0,2024,Q2 2024
REF000131,CL1984,CL0547,2025-03-18,Yes,In-Person,Colour Analysis,236.37,2025,Q1 2025
REF000132,CL2415,CL1291,2025-03-15,No,WhatsApp,Colour & Style Combined,0,2025,Q1 2025
REF000133,CL2445,CL0558,2023-08-12,Yes,Social Media Post,Makeup Lesson,246.47,2023,Q3 2023
REF000134,CL2445,CL1666,2023-09-05,Yes,Social Media Post,Makeup Lesson,195.2,2023,Q3 2023
REF000135,CL2445,CL1086,2023-09-03,Yes,WhatsApp,Colour Analysis,164.88,2023,Q3 2023
REF000136,CL0412,CL1458,2025-03-22,Yes,WhatsApp,Colour & Style Combined,361.53,2025,Q1 2025
REF000137,CL0412,CL0713,2023-03-05,No,Email,Style Analysis,0,2023,Q1 2023
REF000138,CL0796,CL0573,2023-09-06,Yes,Social Media Post,Style Analysis,159.39,2023,Q3 2023
REF000139,CL0735,CL0308,2023-02-14,No,Social Media Post,Makeup Lesson,0,2023,Q1 2023
REF000140,CL0058,CL1359,2023-09-08,Yes,Email,Colour Analysis,149.6,2023,Q3 2023
REF000141,CL0058,CL2351,2025-06-06,No,Email,Makeup Lesson,0,2025,Q2 2025
REF000142,CL2935,CL0708,2024-12-25,Yes,Social Media Post,Colour & Style Combined,185.95,2024,Q4 2024
REF000143,CL2935,CL0609,2023-03-12,Yes,In-Person,Style Analysis,305.37,2023,Q1 2023
REF000144,CL0224,CL1718,2024-02-13,Yes,In-Person,Style Analysis,300.0,2024,Q1 2024
REF000145,CL1961,CL0898,2023-03-02,No,WhatsApp,Colour Analysis,0,2023,Q1 2023
REF000146,CL1035,CL1016,2024-05-08,Yes,Word of Mouth,Style Analysis,282.1,2024,Q2 2024
REF000147,CL2015,CL1303,2025-01-04,No,Word of Mouth,Colour & Style Combined,0,2025,Q1 2025
REF000148,CL0220,CL2017,2024-09-24,Yes,Word of Mouth,Colour Analysis,113.25,2024,Q3 2024
REF000149,CL0220,CL2465,2024-03-24,Yes,Email,Colour Analysis,202.81,2024,Q1 2024
REF000150,CL0220,CL2516,2024-02-17,No,WhatsApp,Style Analysis,0,2024,Q1 2024
REF000151,CL2306,CL2403,2023-10-18,No,In-Person,Colour & Style Combined,0,2023,Q4 2023
REF000152,CL2286,CL0559,2023-11-19,No,Email,Makeup Lesson,0,2023,Q4 2023
REF000153,CL2484,CL2841,2024-12-31,Yes,In-Person,Style Analysis,217.97,2024,Q4 2024
REF000154,CL2484,CL2821,2024-08-26,Yes,Word of Mouth,Makeup Lesson,371.5,2024,Q3 2024
REF000155,CL2484,CL2325,2023-03-08,Yes,WhatsApp,Style Analysis,302.89,2023,Q1 2023
REF000156,CL2802,CL1357,2023-06-09,Yes,WhatsApp,Style Analysis,301.76,2023,Q2 2023
REF000157,CL1846,CL0859,2024-05-26,Yes,WhatsApp,Colour & Style Combined,350.78,2024,Q2 2024
REF000158,CL1218,CL1719,2023-12-07,No,Email,Makeup Lesson,0,2023,Q4 2023
REF000159,CL2498,CL0137,2024-08-26,Yes,WhatsApp,Colour Analysis,119.12,2024,Q3 2024
REF000160,CL0407,CL2999,2023-06-03,Yes,Word of Mouth,Colour & Style Combined,288.06,2023,Q2 2023
REF000161,CL0865,CL0676,2025-06-08,Yes,Word of Mouth,Colour & Style Combined,161.8,2025,Q2 2025
REF000162,CL0865,CL0779,2025-04-18,Yes,In-Person,Colour & Style Combined,309.69,2025,Q2 2025
REF000163,CL0865,CL1219,2024-05-01,Yes,Email,Makeup Lesson,144.92,2024,Q2 2024
REF000164,CL0644,CL2459,2025-09-10,Yes,Word of Mouth,Style Analysis,150.52,2025,Q3 2025
REF000165,CL0644,CL1196,2023-06-17,Yes,Word of Mouth,Colour & Style Combined,350.08,2023,Q2 2023
REF000166,CL2261,CL1588,2024-01-14,Yes,Email,Colour & Style Combined,155.64,2024,Q1 2024
REF000167,CL0308,CL1079,2024-04-08,No,In-Person,Colour Analysis,0,2024,Q2 2024
REF000168,CL0642,CL0397,2023-06-25,Yes,In-Person,Makeup Lesson,410.48,2023,Q2 2023
REF000169,CL0642,CL2416,2024-04-10,Yes,Email,Makeup Lesson,408.83,2024,Q2 2024
REF000170,CL2433,CL1618,2023-03-13,Yes,In-Person,Style Analysis,134.09,2023,Q1 2023
REF000171,CL1193,CL0868,2024-01-30,Yes,Email,Colour Analysis,416.19,2024,Q1 2024
REF000172,CL1193,CL1784,2024-02-18,No,Social Media Post,Colour & Style Combined,0,2024,Q1 2024
REF000173,CL1193,CL1310,2023-05-18,Yes,In-Person,Makeup Lesson,274.42,2023,Q2 2023
REF000174,CL1159,CL2407,2025-12-06,No,Word of Mouth,Makeup Lesson,0,2025,Q4 2025
REF000175,CL1159,CL0613,2023-10-31,Yes,In-Person,Colour Analysis,395.6,2023,Q4 2023
REF000176,CL0292,CL2194,2024-12-05,No,WhatsApp,Makeup Lesson,0,2024,Q4 2024
REF000177,CL2416,CL2533,2025-04-02,Yes,WhatsApp,Style Analysis,111.02,2025,Q2 2025
REF000178,CL1742,CL1384,2024-09-12,Yes,Email,Colour Analysis,411.06,2024,Q3 2024
REF000179,CL0471,CL1815,2024-10-19,Yes,Email,Colour Analysis,156.08,2024,Q4 2024
REF000180,CL2231,CL1985,2025-11-23,No,Word of Mouth,Style Analysis,0,2025,Q4 2025
REF000181,CL2231,CL0269,2024-09-29,No,Email,Style Analysis,0,2024,Q3 2024
REF000182,CL1089,CL0823,2023-04-29,Yes,Email,Colour Analysis,393.36,2023,Q2 2023
REF000183,CL1089,CL2887,2024-02-12,Yes,Email,Makeup Lesson,301.51,2024,Q1 2024
REF000184,CL0583,CL1526,2025-09-28,Yes,Social Media Post,Makeup Lesson,285.74,2025,Q3 2025
REF000185,CL0293,CL1060,2023-07-05,Yes,Email,Colour Analysis,147.94,2023,Q3 2023
REF000186,CL1183,CL0083,2023-01-19,Yes,Social Media Post,Style Analysis,290.37,2023,Q1 2023
REF000187,CL1799,CL1252,2024-07-17,Yes,Email,Colour & Style Combined,244.17,2024,Q3 2024
REF000188,CL0510,CL2133,2025-03-24,Yes,Word of Mouth,Colour & Style Combined,277.47,2025,Q1 2025
REF000189,CL1246,CL1974,2023-05-11,Yes,WhatsApp,Colour & Style Combined,374.98,2023,Q2 2023
REF000190,CL1246,CL1070,2024-09-03,Yes,In-Person,Style Analysis,387.4,2024,Q3 2024
REF000191,CL0164,CL1591,2023-03-14,Yes,In-Person,Style Analysis,206.53,2023,Q1 2023
REF000192,CL0938,CL2694,2024-01-06,Yes,Email,Style Analysis,335.8,2024,Q1 2024
REF000193,CL0718,CL1258,2025-05-11,No,WhatsApp,Colour & Style Combined,0,2025,Q2 2025
REF000194,CL1928,CL0483,2025-08-21,Yes,In-Person,Colour Analysis,248.47,2025,Q3 2025
REF000195,CL2126,CL2789,2025-02-20,Yes,Email,Colour Analysis,378.03,2025,Q1 2025
REF000196,CL1812,CL1404,2025-04-18,No,Email,Style Analysis,0,2025,Q2 2025
REF000197,CL1812,CL1296,2024-01-05,No,Email,Colour & Style Combined,0,2024,Q1 2024
REF000198,CL1812,CL2585,2023-12-29,Yes,Word of Mouth,Colour Analysis,241.92,2023,Q4 2023
REF000199,CL2913,CL2361,2023-11-21,Yes,Word of Mouth,Style Analysis,294.71,2023,Q4 2023
REF000200,CL2913,CL2595,2025-05-29,Yes,Email,Makeup Lesson,96.52,2025,Q2 2025
REF000201,CL1926,CL1020,2024-04-08,Yes,WhatsApp,Colour & Style Combined,136.9,2024,Q2 2024
REF000202,CL1366,CL1222,2024-08-18,Yes,In-Person,Colour & Style Combined,235.94,2024,Q3 2024
REF000203,CL1366,CL2814,2023-10-02,Yes,Email,Colour & Style Combined,338.79,2023,Q4 2023
REF000204,CL1316,CL1653,2023-02-09,Yes,Social Media Post,Style Analysis,333.57,2023,Q1 2023
REF000205,CL1316,CL2416,2025-10-30,Yes,WhatsApp,Colour Analysis,216.94,2025,Q4 2025
REF000206,CL1316,CL2623,2024-06-07,No,In-Person,Colour Analysis,0,2024,Q2 2024
REF000207,CL0659,CL0081,2023-04-09,Yes,Email,Makeup Lesson,218.58,2023,Q2 2023
REF000208,CL2030,CL2582,2023-01-20,Yes,Word of Mouth,Colour & Style Combined,297.41,2023,Q1 2023
REF000209,CL2030,CL2871,2023-10-08,Yes,Word of Mouth,Colour Analysis,186.88,2023,Q4 2023
REF000210,CL1325,CL0851,2025-09-11,Yes,Word of Mouth,Colour Analysis,313.28,2025,Q3 2025
REF000211,CL0005,CL2096,2023-06-03,No,Word of Mouth,Colour & Style Combined,0,2023,Q2 2023
REF000212,CL0223,CL0716,2023-03-22,No,WhatsApp,Colour & Style Combined,0,2023,Q1 2023
REF000213,CL2124,CL0188,2023-01-20,No,Social Media Post,Colour & Style Combined,0,2023,Q1 2023
REF000214,CL2124,CL1465,2025-06-15,No,WhatsApp,Colour Analysis,0,2025,Q2 2025
REF000215,CL2551,CL1640,2025-07-23,Yes,Email,Makeup Lesson,354.97,2025,Q3 2025
REF000216,CL1811,CL0241,2023-11-23,Yes,In-Person,Makeup Lesson,355.74,2023,Q4 2023
REF000217,CL1811,CL2779,2025-06-16,Yes,Email,Colour & Style Combined,293.69,2025,Q2 2025
REF000218,CL0498,CL0051,2025-12-10,No,In-Person,Style Analysis,0,2025,Q4 2025
REF000219,CL0498,CL2744,2024-11-23,Yes,In-Person,Colour Analysis,235.68,2024,Q4 2024
REF000220,CL1273,CL2511,2023-04-22,Yes,Social Media Post,Makeup Lesson,371.86,2023,Q2 2023
REF000221,CL1273,CL0678,2023-06-03,No,WhatsApp,Style Analysis,0,2023,Q2 2023
REF000222,CL2257,CL2077,2024-04-01,Yes,Email,Makeup Lesson,360.56,2024,Q2 2024
REF000223,CL0057,CL2348,2025-07-06,Yes,Email,Makeup Lesson,197.72,2025,Q3 2025
REF000224,CL2785,CL0147,2023-01-01,No,In-Person,Colour & Style Combined,0,2023,Q1 2023
REF000225,CL0631,CL0914,2025-07-19,Yes,In-Person,Makeup Lesson,327.91,2025,Q3 2025
REF000226,CL0631,CL1489,2025-07-15,Yes,Social Media Post,Colour Analysis,205.94,2025,Q3 2025
REF000227,CL2085,CL2876,2023-08-06,Yes,Social Media Post,Makeup Lesson,140.65,2023,Q3 2023
REF000228,CL1977,CL0769,2023-09-05,No,Email,Style Analysis,0,2023,Q3 2023
REF000229,CL2258,CL2594,2023-09-10,No,Email,Makeup Lesson,0,2023,Q3 2023
REF000230,CL0781,CL2173,2023-04-10,Yes,Email,Makeup Lesson,395.42,2023,Q2 2023
REF000231,CL0286,CL0425,2025-03-04,Yes,In-Person,Colour & Style Combined,258.84,2025,Q1 2025
REF000232,CL0286,CL1576,2025-05-07,No,Social Media Post,Colour & Style Combined,0,2025,Q2 2025
REF000233,CL2975,CL0547,2023-10-10,Yes,In-Person,Colour & Style Combined,369.0,2023,Q4 2023
REF000234,CL2080,CL2268,2024-03-21,Yes,In-Person,Colour & Style Combined,318.15,2024,Q1 2024
REF000235,CL2080,CL2755,2023-09-29,No,Social Media Post,Colour & Style Combined,0,2023,Q3 2023
REF000236,CL1414,CL1561,2023-10-25,Yes,Word of Mouth,Style Analysis,181.77,2023,Q4 2023
REF000237,CL1546,CL1209,2024-02-22,No,Word of Mouth,Colour & Style Combined,0,2024,Q1 2024
REF000238,CL1319,CL2302,2024-04-04,No,In-Person,Makeup Lesson,0,2024,Q2 2024
REF000239,CL1319,CL0974,2025-11-12,No,WhatsApp,Colour Analysis,0,2025,Q4 2025
REF000240,CL2662,CL0054,2024-05-29,Yes,Email,Style Analysis,391.23,2024,Q2 2024
REF000241,CL2029,CL2797,2023-06-02,Yes,Social Media Post,Colour Analysis,217.59,2023,Q2 2023
REF000242,CL2058,CL1045,2023-01-12,Yes,Social Media Post,Colour Analysis,144.95,2023,Q1 2023
REF000243,CL2418,CL2562,2024-09-08,Yes,In-Person,Colour & Style Combined,118.69,2024,Q3 2024
REF000244,CL1872,CL1653,2023-07-08,Yes,Social Media Post,Colour & Style Combined,202.6,2023,Q3 2023
REF000245,CL0063,CL2533,2025-12-22,Yes,In-Person,Colour Analysis,132.28,2025,Q4 2025
REF000246,CL0063,CL1418,2025-07-01,Yes,In-Person,Style Analysis,406.64,2025,Q3 2025
REF000247,CL0063,CL2796,2024-10-19,Yes,Word of Mouth,Makeup Lesson,178.39,2024,Q4 2024
REF000248,CL1680,CL1536,2025-11-19,No,Email,Makeup Lesson,0,2025,Q4 2025
REF000249,CL0633,CL0789,2024-10-18,Yes,Word of Mouth,Style Analysis,410.78,2024,Q4 2024
REF000250,CL0633,CL2204,2025-12-28,Yes,Word of Mouth,Style Analysis,312.86,2025,Q4 2025
REF000251,CL1387,CL2879,2025-06-10,Yes,Word of Mouth,Style Analysis,102.72,2025,Q2 2025
REF000252,CL0329,CL0730,2024-05-30,Yes,In-Person,Style Analysis,391.07,2024,Q2 2024
REF000253,CL1298,CL0485,2025-12-31,Yes,In-Person,Colour Analysis,340.69,2025,Q4 2025
REF000254,CL0148,CL0435,2024-08-16,No,WhatsApp,Colour Analysis,0,2024,Q3 2024
REF000255,CL0148,CL1154,2025-06-15,Yes,Word of Mouth,Makeup Lesson,145.81,2025,Q2 2025
REF000256,CL0148,CL0901,2023-10-07,No,In-Person,Colour & Style Combined,0,2023,Q4 2023
REF000257,CL0962,CL2988,2025-02-03,No,Word of Mouth,Style Analysis,0,2025,Q1 2025
REF000258,CL0962,CL0505,2023-03-27,Yes,In-Person,Makeup Lesson,269.57,2023,Q1 2023
REF000259,CL2746,CL2974,2024-12-05,Yes,In-Person,Style Analysis,147.31,2024,Q4 2024
REF000260,CL2746,CL0905,2024-06-01,Yes,Social Media Post,Colour Analysis,371.7,2024,Q2 2024
