ClientID,ColourSeasonID,PreferredStylistID,ReferralSource,AgeGroup,FirstConsultationDate,HasStyleAnalysis,HasMakeupLesson
CL0052,CS06,STY073,Facebook,25-34,2022-04-23,Yes,Yes
CL0053,CS03,STY031,Word of Mouth,55-64,2023-06-23,No,No
CL0054,CS03,STY033,Word of Mouth,45-54,2022-07-30,Yes,Yes
CL0055,CS05,STY045,TikTok,25-34,2022-06-23,No,No
CL0056,CS07,STY026,Friend Referral,35-44,2021-09-10,No,Yes
CL0057,CS02,STY038,Word of Mouth,35-44,2023-03-23,No,Yes
CL0058,CS11,STY007,Instagram,18-24,2024-11-06,No,Yes
CL0059,CS04,STY025,TikTok,35-44,2023-07-27,No,No
CL0060,CS12,STY013,Friend Referral,45-54,2020-10-07,Yes,Yes
CL0061,CS08,STY012,Word of Mouth,35-44,2020-09-26,No,Yes
CL0062,CS12,STY070,Facebook,25-34,2024-05-29,No,No
CL0063,CS09,STY062,Corporate,55-64,2021-06-10,No,No
CL0064,CS06,STY019,Friend Referral,35-44,2020-06-03,Yes,No
CL0065,CS12,STY072,TikTok,35-44,2024-09-28,No,Yes
CL0066,CS07,STY048,Word of Mouth,35-44,2022-07-20,No,No
CL0067,CS07,STY030,Friend Referral,65+,2020-08-09,No,Yes
CL0068,CS10,STY029,Gift Voucher,35-44,2023-06-03,Yes,No
CL0069,CS08,STY015,Corporate,35-44,2022-04-16,Yes,Yes
CL0070,CS01,STY031,Instagram,35-44,2020-07-18,Yes,Yes
CL0071,CS08,STY070,Instagram,65+,2023-11-27,No,No
CL0072,CS12,STY013,Friend Referral,55-64,2023-09-03,No,No
CL0073,CS07,STY048,Return Client,25-34,2023-11-14,Yes,Yes
CL0074,CS08,STY048,Return Client,55-64,2020-07-22,No,Yes
CL0075,CS07,STY059,Instagram,65+,2024-10-02,Yes,No
CL0076,CS04,STY007,TikTok,45-54,2020-02-13,No,Yes
CL0077,CS03,STY071,Friend Referral,25-34,2024-08-26,Yes,No
CL0078,CS04,STY019,Friend Referral,25-34,2024-05-04,Yes,Yes
CL0079,CS03,STY023,YouTube,35-44,2024-06-23,Yes,No
CL0080,CS01,STY031,Word of Mouth,35-44,2024-06-02,No,Yes
CL0081,CS03,STY068,Instagram,25-34,2022-05-12,Yes,No
CL0082,CS02,STY014,Facebook,45-54,2022-11-17,No,No
CL0083,CS04,STY067,Return Client,18-24,2024-05-23,No,Yes
CL0084,CS11,STY052,Return Client,18-24,2022-09-07,No,No
CL0085,CS02,STY011,Facebook,55-64,2020-05-30,No,No
CL0086,CS03,STY071,Word of Mouth,25-34,2023-07-20,No,Yes
CL0087,CS10,STY056,Google Search,35-44,2023-05-24,Yes,No
CL0088,CS02,STY071,Gift Voucher,45-54,2024-04-23,Yes,Yes
CL0089,CS08,STY059,Gift Voucher,35-44,2024-08-21,No,Yes
CL0090,CS12,STY033,Word of Mouth,35-44,2023-09-24,No,Yes
CL0091,CS11,STY011,Corporate,18-24,2024-08-30,Yes,Yes
CL0092,CS02,STY072,Friend Referral,35-44,2020-09-23,Yes,No
CL0093,CS09,STY046,Google Search,45-54,2022-04-21,No,No
CL0094,CS01,STY014,Return Client,45-54,2021-12-21,Yes,Yes
CL0095,CS11,STY072,Facebook,55-64,2021-12-18,No,Yes
CL0096,CS05,STY072,Google Search,55-64,2024-09-26,Yes,No
CL0097,CS11,STY035,Friend Referral,25-34,2021-01-04,No,Yes
CL0098,CS06,STY052,Word of Mouth,55-64,2023-03-05,Yes,Yes
CL0099,CS12,STY068,TikTok,18-24,2024-03-08,Yes,Yes
CL0100,CS07,STY042,Facebook,25-34,2021-09-30,Yes,Yes
CL0101,CS03,STY011,Word of Mouth,45-54,2023-10-12,No,Yes
CL0102,CS11,STY035,Facebook,45-54,2022-04-28,Yes,No
CL0103,CS02,STY063,Instagram,25-34,2023-10-20,No,Yes
CL0104,CS04,STY027,Instagram,45-54,2020-01-16,No,Yes
CL0105,CS03,STY001,Friend Referral,25-34,2020-09-02,No,No
CL0106,CS07,STY030,Word of Mouth,35-44,2023-12-12,No,Yes
CL0107,CS07,STY059,Gift Voucher,18-24,2020-02-08,Yes,Yes
CL0108,CS10,STY054,Facebook,35-44,2023-08-04,No,Yes
CL0109,CS07,STY059,Word of Mouth,35-44,2024-06-29,No,Yes
CL0110,CS07,STY052,Gift Voucher,25-34,2023-04-21,Yes,Yes
CL0111,CS05,STY022,Friend Referral,25-34,2024-05-14,Yes,No
CL0112,CS11,STY045,Word of Mouth,35-44,2024-05-08,No,No
CL0113,CS11,STY033,Friend Referral,25-34,2020-10-26,Yes,Yes
CL0114,CS10,STY023,Word of Mouth,45-54,2020-06-03,No,Yes
CL0115,CS10,STY042,Friend Referral,35-44,2023-03-02,No,Yes
CL0116,CS08,STY036,Word of Mouth,35-44,2021-09-12,Yes,Yes
CL0117,CS09,STY008,Word of Mouth,35-44,2020-03-18,No,Yes
CL0118,CS02,STY065,TikTok,65+,2020-07-03,No,Yes
CL0119,CS10,STY058,Google Search,45-54,2020-03-25,Yes,Yes
CL0120,CS10,STY058,Facebook,25-34,2020-05-06,Yes,Yes
CL0121,CS12,STY032,Word of Mouth,45-54,2020-03-21,No,Yes
CL0122,CS09,STY037,Google Search,25-34,2022-02-02,No,Yes
CL0123,CS06,STY043,TikTok,18-24,2023-07-16,Yes,Yes
CL0124,CS02,STY020,Google Search,35-44,2021-05-31,No,Yes
CL0125,CS10,STY051,TikTok,55-64,2021-09-27,Yes,No
CL0126,CS12,STY043,Return Client,35-44,2022-02-10,Yes,No
CL0127,CS12,STY068,Friend Referral,45-54,2023-11-04,Yes,No
CL0128,CS11,STY040,Facebook,35-44,2022-01-12,Yes,Yes
CL0129,CS06,STY018,Return Client,35-44,2021-04-08,Yes,Yes
CL0130,CS05,STY070,Gift Voucher,25-34,2024-04-27,Yes,No
CL0131,CS06,STY049,Gift Voucher,45-54,2023-05-08,Yes,Yes
CL0132,CS03,STY022,Gift Voucher,45-54,2024-07-14,No,Yes
CL0133,CS07,STY037,Instagram,45-54,2022-06-28,No,Yes
CL0134,CS09,STY061,Word of Mouth,65+,2024-05-25,Yes,Yes
CL0135,CS11,STY037,Return Client,65+,2022-08-03,No,No
CL0136,CS09,STY018,Facebook,25-34,2021-02-12,No,Yes
CL0137,CS11,STY067,Facebook,35-44,2020-07-29,Yes,Yes
CL0138,CS02,STY019,Friend Referral,25-34,2022-11-17,No,Yes
CL0139,CS04,STY054,Friend Referral,55-64,2020-02-24,Yes,Yes
CL0140,CS09,STY048,Instagram,35-44,2020-06-16,Yes,Yes
CL0141,CS06,STY043,Return Client,55-64,2023-08-24,Yes,Yes
CL0142,CS01,STY018,Instagram,55-64,2023-11-26,No,Yes
CL0143,CS10,STY028,Word of Mouth,18-24,2021-06-08,Yes,No
CL0144,CS12,STY037,TikTok,35-44,2024-05-08,Yes,Yes
CL0145,CS02,STY059,Word of Mouth,35-44,2024-06-13,Yes,Yes
CL0146,CS08,STY074,Google Search,18-24,2022-11-21,Yes,No
CL0147,CS03,STY031,Instagram,18-24,2021-12-23,No,Yes
CL0148,CS11,STY009,TikTok,35-44,2022-01-08,Yes,Yes
CL0149,CS08,STY033,Word of Mouth,35-44,2022-02-03,Yes,Yes
CL0150,CS02,STY014,Instagram,45-54,2023-07-10,No,Yes
CL0151,CS01,STY023,Instagram,35-44,2023-08-09,No,No
CL0152,CS08,STY059,TikTok,55-64,2020-05-09,Yes,Yes
CL0153,CS04,STY041,Word of Mouth,25-34,2020-03-26,No,No
CL0154,CS07,STY005,YouTube,35-44,2021-06-02,Yes,Yes
CL0155,CS06,STY043,Gift Voucher,18-24,2023-09-04,No,Yes
CL0156,CS06,STY050,Facebook,35-44,2022-06-19,No,Yes
CL0157,CS08,STY067,Friend Referral,35-44,2024-06-20,No,Yes
CL0158,CS12,STY024,Facebook,35-44,2024-08-11,No,Yes
CL0159,CS02,STY058,Word of Mouth,45-54,2021-09-19,No,Yes
CL0160,CS12,STY046,Facebook,35-44,2024-01-28,No,Yes
CL0161,CS11,STY052,YouTube,65+,2020-06-02,No,No
CL0162,CS12,STY057,TikTok,65+,2020-10-19,Yes,Yes
CL0163,CS02,STY050,Word of Mouth,45-54,2022-01-11,Yes,No
CL0164,CS03,STY057,TikTok,65+,2022-01-31,Yes,No
CL0165,CS03,STY036,Google Search,35-44,2023-08-23,Yes,Yes
CL0166,CS01,STY072,Friend Referral,35-44,2022-03-03,Yes,Yes
CL0167,CS05,STY037,Friend Referral,25-34,2023-06-07,No,Yes
CL0168,CS02,STY057,Word of Mouth,18-24,2020-12-19,Yes,No
CL0169,CS06,STY070,TikTok,45-54,2023-01-31,No,Yes
CL0170,CS03,STY023,Friend Referral,55-64,2023-07-30,No,No
CL0171,CS04,STY031,Word of Mouth,25-34,2020-10-11,No,Yes
CL0172,CS06,STY071,Google Search,35-44,2024-07-03,Yes,No
CL0173,CS02,STY062,Word of Mouth,35-44,2024-01-08,No,Yes
CL0174,CS10,STY010,Word of Mouth,65+,2023-08-08,No,Yes
CL0175,CS11,STY071,Google Search,25-34,2024-08-24,Yes,Yes
CL0176,CS07,STY016,Google Search,55-64,2024-08-29,Yes,Yes
CL0177,CS03,STY045,Word of Mouth,65+,2021-04-06,No,Yes
CL0178,CS05,STY017,Word of Mouth,65+,2021-07-16,No,No
CL0179,CS09,STY020,Word of Mouth,45-54,2023-04-27,Yes,No
CL0180,CS10,STY073,Friend Referral,45-54,2024-09-21,Yes,Yes
CL0181,CS02,STY034,Word of Mouth,45-54,2023-03-27,Yes,No
CL0182,CS07,STY070,TikTok,18-24,2023-07-08,No,No
CL0183,CS05,STY052,Facebook,55-64,2023-11-03,No,Yes
CL0184,CS02,STY062,Friend Referral,25-34,2022-05-01,No,Yes
CL0185,CS06,STY041,TikTok,35-44,2024-01-11,No,Yes
CL0186,CS03,STY041,Friend Referral,35-44,2020-08-05,Yes,Yes
CL0187,CS02,STY007,Instagram,25-34,2020-07-17,No,Yes
CL0188,CS10,STY042,Facebook,65+,2020-11-23,No,Yes
CL0189,CS03,STY040,Facebook,35-44,2022-10-18,No,Yes
CL0190,CS02,STY028,Return Client,35-44,2021-05-08,No,Yes
CL0191,CS01,STY061,Instagram,45-54,2024-09-22,No,No
CL0192,CS01,STY047,Gift Voucher,35-44,2021-06-25,No,Yes
CL0193,CS01,STY047,Facebook,35-44,2021-02-02,No,Yes
CL0194,CS07,STY016,Google Search,45-54,2021-07-26,Yes,Yes
CL0195,CS07,STY047,Instagram,65+,2023-02-16,Yes,Yes
CL0196,CS10,STY005,Google Search,35-44,2020-04-02,Yes,No
CL0197,CS06,STY066,Friend Referral,35-44,2020-11-01,Yes,Yes
CL0198,CS10,STY039,Instagram,35-44,2023-06-16,No,No
CL0199,CS09,STY061,Google Search,45-54,2021-09-05,Yes,Yes
CL0200,CS06,STY040,TikTok,65+,2023-04-10,Yes,No
CL0201,CS08,STY074,Instagram,45-54,2024-05-08,Yes,No
CL0202,CS01,STY049,Google Search,25-34,2023-07-12,Yes,No
CL0203,CS04,STY025,Word of Mouth,65+,2020-08-13,Yes,Yes
CL0204,CS06,STY053,Facebook,35-44,2021-02-21,No,No
CL0205,CS12,STY072,Word of Mouth,25-34,2021-02-28,No,No
CL0206,CS08,STY059,Google Search,35-44,2020-12-20,No,No
CL0207,CS06,STY034,TikTok,55-64,2023-10-26,No,Yes
CL0208,CS04,STY037,Instagram,25-34,2021-09-01,Yes,No
CL0209,CS12,STY036,Facebook,35-44,2023-02-21,No,Yes
CL0210,CS10,STY045,TikTok,35-44,2022-03-19,Yes,Yes
CL0211,CS01,STY057,Instagram,45-54,2021-12-10,No,No
CL0212,CS08,STY072,Word of Mouth,55-64,2021-07-09,No,Yes
CL0213,CS02,STY007,TikTok,45-54,2021-05-11,Yes,No
CL0214,CS04,STY061,Word of Mouth,35-44,2024-01-09,Yes,No
CL0215,CS03,STY053,Word of Mouth,35-44,2020-11-19,No,Yes
CL0216,CS11,STY037,Word of Mouth,65+,2021-10-19,Yes,Yes
CL0217,CS11,STY005,Google Search,35-44,2024-01-20,Yes,Yes
CL0218,CS03,STY051,Return Client,18-24,2024-09-08,No,Yes
CL0219,CS12,STY005,Return Client,55-64,2024-11-30,Yes,Yes
CL0220,CS10,STY037,TikTok,55-64,2021-11-17,No,No
CL0221,CS09,STY065,Google Search,55-64,2020-10-01,No,Yes
CL0222,CS04,STY059,Friend Referral,35-44,2024-02-06,No,No
CL0223,CS03,STY073,Word of Mouth,35-44,2021-08-27,Yes,Yes
CL0224,CS10,STY055,Gift Voucher,55-64,2024-08-20,No,Yes
CL0225,CS07,STY062,TikTok,25-34,2020-10-14,No,Yes
CL0226,CS01,STY035,Instagram,25-34,2024-03-23,No,Yes
CL0227,CS10,STY047,Friend Referral,18-24,2023-08-31,Yes,Yes
CL0228,CS11,STY065,Word of Mouth,35-44,2022-04-10,No,No
CL0229,CS02,STY029,TikTok,65+,2022-01-22,Yes,Yes
CL0230,CS08,STY048,Word of Mouth,45-54,2023-05-25,No,No
CL0231,CS09,STY028,Corporate,45-54,2024-06-30,Yes,No
CL0232,CS10,STY068,Gift Voucher,25-34,2022-07-03,No,Yes
CL0233,CS10,STY026,Word of Mouth,55-64,2022-11-01,Yes,Yes
CL0234,CS06,STY027,Gift Voucher,35-44,2023-10-25,No,Yes
CL0235,CS09,STY066,Facebook,18-24,2020-09-27,No,Yes
CL0236,CS10,STY040,Word of Mouth,35-44,2024-07-10,Yes,Yes
CL0237,CS05,STY010,Friend Referral,45-54,2023-03-30,Yes,Yes
CL0238,CS06,STY009,Friend Referral,35-44,2020-05-03,No,Yes
CL0239,CS05,STY054,Facebook,45-54,2024-04-17,No,Yes
CL0240,CS08,STY011,Gift Voucher,55-64,2022-02-08,Yes,No
CL0241,CS06,STY068,Word of Mouth,65+,2022-03-15,Yes,No
CL0242,CS04,STY060,Gift Voucher,45-54,2021-09-03,No,No
CL0243,CS07,STY020,Friend Referral,25-34,2021-12-09,No,Yes
CL0244,CS12,STY054,Friend Referral,18-24,2023-09-14,Yes,Yes
CL0245,CS04,STY007,Word of Mouth,45-54,2022-07-03,Yes,No
CL0246,CS01,STY008,Facebook,25-34,2021-03-20,Yes,No
CL0247,CS05,STY041,Word of Mouth,55-64,2023-03-25,No,Yes
CL0248,CS05,STY029,Gift Voucher,65+,2022-12-03,No,Yes
CL0249,CS05,STY023,Word of Mouth,65+,2024-02-14,No,No
CL0250,CS08,STY049,Word of Mouth,35-44,2023-08-10,No,No
CL0251,CS07,STY069,Facebook,25-34,2021-01-11,No,Yes
CL0252,CS04,STY060,Instagram,45-54,2024-07-08,Yes,No
CL0253,CS07,STY050,Return Client,35-44,2020-10-01,Yes,Yes
CL0254,CS04,STY048,Instagram,18-24,2022-07-10,Yes,No
CL0255,CS12,STY006,Friend Referral,18-24,2022-02-11,Yes,Yes
CL0256,CS10,STY027,Friend Referral,35-44,2022-09-08,No,Yes
CL0257,CS01,STY016,Word of Mouth,25-34,2024-02-27,No,Yes
CL0258,CS12,STY071,TikTok,25-34,2021-05-05,No,Yes
CL0259,CS07,STY034,Facebook,45-54,2021-09-23,No,No
CL0260,CS08,STY061,Facebook,55-64,2024-01-19,No,Yes
CL0261,CS06,STY029,Instagram,18-24,2024-11-04,Yes,Yes
CL0262,CS05,STY054,Google Search,45-54,2024-01-14,No,Yes
CL0263,CS04,STY032,Instagram,35-44,2024-09-02,No,No
CL0264,CS11,STY063,Return Client,35-44,2024-04-12,No,Yes
CL0265,CS03,STY070,Friend Referral,35-44,2020-10-13,No,Yes
CL0266,CS09,STY005,YouTube,65+,2022-12-09,Yes,No
CL0267,CS01,STY030,Friend Referral,35-44,2024-09-21,Yes,No
CL0268,CS03,STY008,Word of Mouth,35-44,2022-02-03,No,No
CL0269,CS08,STY002,Word of Mouth,35-44,2022-04-22,Yes,No
CL0270,CS12,STY065,Instagram,65+,2020-02-05,No,Yes
CL0271,CS02,STY025,Corporate,35-44,2021-05-08,No,Yes
CL0272,CS05,STY059,Friend Referral,18-24,2022-04-11,Yes,No
CL0273,CS04,STY005,Instagram,55-64,2020-06-14,Yes,Yes
CL0274,CS07,STY002,Instagram,35-44,2023-07-28,Yes,Yes
CL0275,CS08,STY073,Gift Voucher,45-54,2021-11-09,Yes,No
CL0276,CS01,STY073,Word of Mouth,55-64,2023-11-18,No,Yes
CL0277,CS01,STY070,Corporate,45-54,2021-07-28,Yes,Yes
CL0278,CS06,STY051,Word of Mouth,25-34,2020-10-22,Yes,Yes
CL0279,CS03,STY050,Google Search,35-44,2024-10-05,No,Yes
CL0280,CS12,STY011,Word of Mouth,65+,2024-01-23,No,Yes
CL0281,CS02,STY051,Facebook,55-64,2021-11-28,No,Yes
CL0282,CS11,STY030,Instagram,65+,2022-10-01,No,No
CL0283,CS07,STY049,Facebook,45-54,2023-09-15,Yes,No
CL0284,CS05,STY035,Friend Referral,45-54,2020-06-17,Yes,Yes
CL0285,CS12,STY041,Friend Referral,25-34,2022-03-08,No,Yes
CL0286,CS02,STY035,Word of Mouth,35-44,2022-01-07,Yes,Yes
CL0287,CS02,STY066,Word of Mouth,35-44,2023-02-10,No,Yes
CL0288,CS01,STY042,Word of Mouth,35-44,2023-05-07,No,Yes
CL0289,CS05,STY072,Facebook,45-54,2024-01-24,Yes,No
CL0290,CS09,STY035,Word of Mouth,35-44,2020-10-11,No,Yes
CL0291,CS08,STY054,Word of Mouth,25-34,2021-07-19,No,Yes
CL0292,CS02,STY064,Instagram,65+,2024-01-16,Yes,Yes
CL0293,CS02,STY043,Word of Mouth,18-24,2022-03-21,No,Yes
CL0294,CS08,STY018,Instagram,55-64,2024-10-26,No,Yes
CL0295,CS10,STY023,Return Client,25-34,2021-10-05,No,Yes
CL0296,CS05,STY032,Friend Referral,45-54,2023-03-25,No,Yes
CL0297,CS05,STY073,Friend Referral,35-44,2020-08-21,Yes,No
CL0298,CS09,STY060,Word of Mouth,45-54,2020-02-25,Yes,Yes
CL0299,CS05,STY053,Gift Voucher,18-24,2024-10-02,No,Yes
CL0300,CS11,STY055,Instagram,25-34,2020-11-11,No,Yes
CL0301,CS08,STY069,YouTube,35-44,2022-03-31,No,No
CL0302,CS01,STY069,Friend Referral,35-44,2024-07-21,Yes,Yes
CL0303,CS04,STY006,TikTok,35-44,2023-08-18,No,Yes
CL0304,CS07,STY066,Word of Mouth,25-34,2021-03-30,Yes,Yes
CL0305,CS06,STY065,Instagram,45-54,2023-04-20,Yes,Yes
CL0306,CS01,STY015,Facebook,25-34,2020-06-24,Yes,Yes
CL0307,CS05,STY062,Instagram,45-54,2022-12-03,No,Yes
CL0308,CS02,STY009,Facebook,45-54,2021-10-15,No,Yes
CL0309,CS12,STY014,Word of Mouth,55-64,2023-08-20,Yes,No
CL0310,CS04,STY072,Google Search,35-44,2021-11-08,No,Yes
CL0311,CS04,STY056,Friend Referral,45-54,2021-01-16,No,Yes
CL0312,CS12,STY055,TikTok,25-34,2023-04-27,No,Yes
CL0313,CS12,STY009,Word of Mouth,25-34,2023-12-12,Yes,No
CL0314,CS03,STY034,Instagram,25-34,2020-08-21,No,No
CL0315,CS11,STY015,Instagram,35-44,2022-03-14,No,Yes
CL0316,CS08,STY039,TikTok,55-64,2023-12-16,Yes,No
CL0317,CS03,STY024,Instagram,25-34,2020-08-27,No,No
CL0318,CS03,STY074,Google Search,35-44,2020-10-09,No,Yes
CL0319,CS03,STY023,Facebook,35-44,2023-08-14,Yes,Yes
CL0320,CS05,STY007,Word of Mouth,35-44,2022-07-12,No,Yes
CL0321,CS08,STY065,Word of Mouth,55-64,2023-02-24,No,Yes
CL0322,CS11,STY063,Facebook,45-54,2022-06-28,Yes,Yes
CL0323,CS10,STY005,Word of Mouth,45-54,2021-08-21,No,Yes
CL0324,CS09,STY064,Instagram,45-54,2023-03-04,Yes,No
CL0325,CS02,STY070,Instagram,35-44,2022-01-21,Yes,No
CL0326,CS08,STY032,Google Search,65+,2020-07-28,No,Yes
CL0327,CS08,STY057,Instagram,55-64,2020-06-27,Yes,Yes
CL0328,CS04,STY055,Friend Referral,45-54,2021-12-19,Yes,No
CL0329,CS03,STY008,Friend Referral,55-64,2024-07-07,No,No
CL0330,CS05,STY038,Google Search,25-34,2023-12-12,No,No
CL0331,CS05,STY013,Return Client,35-44,2023-10-23,Yes,Yes
CL0332,CS01,STY017,YouTube,55-64,2020-09-16,Yes,Yes
CL0333,CS12,STY051,Instagram,25-34,2024-09-23,No,Yes
CL0334,CS10,STY058,TikTok,45-54,2022-02-07,Yes,No
CL0335,CS02,STY048,Facebook,45-54,2023-11-23,No,Yes
CL0336,CS06,STY012,Google Search,55-64,2024-09-30,No,No
CL0337,CS11,STY069,Friend Referral,55-64,2024-06-17,No,Yes
CL0338,CS07,STY037,Friend Referral,35-44,2021-10-23,No,No
CL0339,CS10,STY044,Word of Mouth,55-64,2024-06-02,Yes,Yes
CL0340,CS02,STY016,TikTok,55-64,2020-02-03,Yes,Yes
CL0341,CS08,STY017,Word of Mouth,65+,2021-02-18,No,Yes
CL0342,CS05,STY048,Word of Mouth,35-44,2020-06-17,Yes,Yes
CL0343,CS07,STY030,TikTok,45-54,2024-03-26,No,No
CL0344,CS02,STY010,Friend Referral,18-24,2022-09-03,Yes,No
CL0345,CS04,STY044,Google Search,35-44,2020-01-17,Yes,Yes
CL0346,CS12,STY012,Word of Mouth,18-24,2022-02-23,Yes,Yes
CL0347,CS06,STY018,Instagram,25-34,2022-02-22,Yes,Yes
CL0348,CS09,STY057,Google Search,45-54,2020-12-02,No,No
CL0349,CS04,STY057,TikTok,25-34,2022-04-23,Yes,Yes
CL0350,CS02,STY050,Word of Mouth,25-34,2024-02-04,No,Yes
CL0351,CS06,STY011,Friend Referral,25-34,2023-08-13,Yes,No
CL0352,CS10,STY004,TikTok,45-54,2024-05-14,No,Yes
CL0353,CS09,STY038,TikTok,25-34,2022-03-13,Yes,Yes
CL0354,CS08,STY010,Instagram,25-34,2023-07-30,Yes,Yes
CL0355,CS06,STY054,Word of Mouth,55-64,2023-03-10,No,No
CL0356,CS11,STY010,Word of Mouth,35-44,2024-04-26,Yes,No
CL0357,CS02,STY051,Word of Mouth,25-34,2020-05-03,No,No
CL0358,CS12,STY052,Google Search,35-44,2023-12-08,Yes,No
CL0359,CS09,STY040,Google Search,25-34,2020-06-20,Yes,No
CL0360,CS04,STY051,Return Client,25-34,2021-10-31,Yes,Yes
CL0361,CS12,STY008,Facebook,65+,2021-05-03,Yes,Yes
CL0362,CS07,STY040,Word of Mouth,45-54,2020-04-22,Yes,Yes
CL0363,CS01,STY064,Friend Referral,45-54,2020-12-01,No,No
CL0364,CS09,STY048,Friend Referral,45-54,2020-12-07,Yes,No
CL0365,CS05,STY043,Friend Referral,25-34,2020-03-01,No,Yes
CL0366,CS09,STY010,Word of Mouth,45-54,2023-03-26,No,Yes
CL0367,CS09,STY022,Instagram,35-44,2023-03-06,No,Yes
CL0368,CS05,STY015,Friend Referral,55-64,2023-10-12,Yes,No
CL0369,CS09,STY032,Word of Mouth,55-64,2020-01-26,Yes,Yes
CL0370,CS06,STY005,Instagram,25-34,2024-10-22,No,Yes
CL0371,CS06,STY035,Word of Mouth,55-64,2021-10-17,Yes,No
CL0372,CS06,STY023,Word of Mouth,45-54,2020-04-17,Yes,No
CL0373,CS01,STY037,Return Client,18-24,2022-08-10,No,Yes
CL0374,CS02,STY038,Google Search,18-24,2021-02-14,No,No
CL0375,CS10,STY026,Word of Mouth,35-44,2022-10-07,Yes,Yes
CL0376,CS01,STY045,Return Client,18-24,2023-01-14,Yes,Yes
CL0377,CS01,STY040,Friend Referral,35-44,2024-02-20,Yes,Yes
CL0378,CS09,STY019,YouTube,35-44,2020-05-02,No,Yes
CL0379,CS01,STY053,Corporate,55-64,2022-11-30,No,Yes
CL0380,CS12,STY051,Word of Mouth,25-34,2020-09-30,Yes,No
CL0381,CS10,STY031,Word of Mouth,45-54,2020-09-24,No,Yes
