JourneyID,ClientID,StylistID,ConsultantID,FirstVisitDate,LastVisitDate,TotalVisits,TotalSpend_GBP,DaysSinceLastVisit,WeeksSinceLastVisit,RetentionSegment,Service1,Service2,Service3,IsReturnClient,AvgSpendPerVisit_GBP
JN00015,CL0015,STY034,CON012,2021-08-06,2023-07-26,11,1189.6,920,131,Lapsed,Personal Shopping,Wardrobe Edit,Colour Analysis,Yes,108.15
JN00016,CL0016,STY002,CON001,2022-11-11,2023-12-15,6,740.08,778,111,Lapsed,Personal Shopping,Makeup,Wardrobe Edit,Yes,123.35
JN00017,CL0017,STY007,CON003,2021-06-26,2025-05-29,4,1643.96,247,35,Lapsed,Personal Shopping,Makeup,Wardrobe Edit,Yes,410.99
JN00018,CL0018,STY056,CON020,2024-11-21,2025-11-03,9,1008.11,89,12,Loyal,Colour Analysis,Makeup,Wardrobe Edit,Yes,112.01
JN00019,CL0019,STY017,CON005,2023-07-10,2025-06-02,4,1529.92,243,34,Lapsed,Style Analysis,Wardrobe Edit,Personal Shopping,Yes,382.48
JN00020,CL0020,STY029,CON010,2024-03-13,2025-05-05,9,960.61,271,38,Lapsed,Wardrobe Edit,Colour Analysis,Makeup,Yes,106.73
JN00021,CL0021,STY023,CON008,2024-08-12,2026-01-31,8,1597.4,0,0,Champion,Style Analysis,Personal Shopping,Wardrobe Edit,Yes,199.68
JN00022,CL0022,STY016,CON005,2023-07-02,2026-01-31,5,829.42,0,0,Champion,Style Analysis,Makeup,Wardrobe Edit,Yes,165.88
JN00023,CL0023,STY063,CON022,2024-10-01,2026-01-31,2,1995.13,0,0,Loyal,Personal Shopping,Style Analysis,,Yes,997.57
JN00024,CL0024,STY016,CON005,2021-01-25,2021-08-23,6,2015.18,1622,231,Lapsed,Wardrobe Edit,Personal Shopping,Makeup,Yes,335.86
JN00025,CL0025,STY060,CON021,2023-04-24,2023-07-29,6,1636.88,917,131,Lapsed,Wardrobe Edit,Colour Analysis,Personal Shopping,Yes,272.81
JN00026,CL0026,STY068,CON024,2023-05-24,2026-01-31,5,742.14,0,0,Champion,Personal Shopping,Style Analysis,Wardrobe Edit,Yes,148.43
JN00027,CL0027,STY048,CON017,2024-10-17,2025-08-12,3,747.19,172,24,At Risk,Wardrobe Edit,Style Analysis,Personal Shopping,Yes,249.06
JN00028,CL0028,STY022,CON007,2022-01-07,2024-11-28,12,312.59,429,61,Lapsed,Style Analysis,Wardrobe Edit,Makeup,Yes,26.05
JN00029,CL0029,STY015,CON005,2020-03-19,2021-03-16,3,161.15,1782,254,Lapsed,Wardrobe Edit,Colour Analysis,Personal Shopping,Yes,53.72
JN00030,CL0030,STY023,CON008,2021-05-28,2024-05-29,1,263.05,612,87,Lapsed,Makeup,,,No,263.05
JN00031,CL0031,STY057,CON020,2022-03-20,2023-11-04,11,1847.22,819,117,Lapsed,Colour Analysis,Style Analysis,Personal Shopping,Yes,167.93
JN00032,CL0032,STY061,CON021,2024-02-14,2026-01-31,9,2309.41,0,0,Champion,Colour Analysis,Makeup,Style Analysis,Yes,256.6
JN00033,CL0033,STY037,CON013,2020-02-29,2020-09-09,7,519.85,1970,281,Lapsed,Colour Analysis,Makeup,Personal Shopping,Yes,74.26
JN00034,CL0034,STY073,CON025,2023-01-03,2023-05-07,1,269.27,1000,142,Lapsed,Personal Shopping,,,No,269.27
JN00035,CL0035,STY039,CON014,2022-02-13,2023-12-09,1,527.64,784,112,Lapsed,Colour Analysis,,,No,527.64
JN00036,CL0036,STY043,CON015,2022-02-10,2024-05-14,6,908.6,627,89,Lapsed,Personal Shopping,Wardrobe Edit,Style Analysis,Yes,151.43
JN00037,CL0037,STY056,CON020,2024-06-02,2026-01-31,5,1695.62,0,0,Champion,Style Analysis,Makeup,Personal Shopping,Yes,339.12
JN00038,CL0038,STY053,CON019,2022-12-18,2023-05-23,2,2132.19,984,140,Lapsed,Style Analysis,Wardrobe Edit,,Yes,1066.1
JN00039,CL0039,STY050,CON018,2022-11-22,2023-03-12,6,1071.1,1056,150,Lapsed,Makeup,Colour Analysis,Style Analysis,Yes,178.52
JN00040,CL0040,STY074,CON025,2020-09-10,2024-08-13,11,1169.12,536,76,Lapsed,Wardrobe Edit,Personal Shopping,Colour Analysis,Yes,106.28
JN00041,CL0041,STY039,CON014,2024-02-20,2026-01-31,5,1197.25,0,0,Champion,Wardrobe Edit,Makeup,Style Analysis,Yes,239.45
JN00042,CL0042,STY025,CON009,2024-11-12,2025-05-04,9,539.43,272,38,Lapsed,Colour Analysis,Wardrobe Edit,Personal Shopping,Yes,59.94
JN00043,CL0043,STY019,CON006,2020-11-04,2021-06-14,9,1409.07,1692,241,Lapsed,Colour Analysis,Makeup,Personal Shopping,Yes,156.56
JN00044,CL0044,STY053,CON019,2022-02-26,2022-11-11,4,168.03,1177,168,Lapsed,Makeup,Colour Analysis,Style Analysis,Yes,42.01
JN00045,CL0045,STY031,CON011,2023-03-03,2026-01-31,9,1940.89,0,0,Champion,Wardrobe Edit,Colour Analysis,Style Analysis,Yes,215.65
JN00046,CL0046,STY005,CON002,2022-10-16,2023-11-22,6,1479.01,801,114,Lapsed,Style Analysis,Colour Analysis,Personal Shopping,Yes,246.5
JN00047,CL0047,STY039,CON014,2023-05-23,2024-08-29,1,1946.8,520,74,Lapsed,Personal Shopping,,,No,1946.8
JN00048,CL0048,STY009,CON003,2020-11-24,2021-06-05,4,1637.67,1701,243,Lapsed,Personal Shopping,Colour Analysis,Makeup,Yes,409.42
JN00049,CL0049,STY022,CON007,2020-01-30,2020-05-31,2,630.91,2071,295,Lapsed,Personal Shopping,Wardrobe Edit,,Yes,315.45
JN00050,CL0050,STY039,CON014,2024-06-08,2026-01-31,2,1369.14,0,0,Loyal,Style Analysis,Wardrobe Edit,,Yes,684.57
JN00051,CL0051,STY022,CON007,2022-10-29,2025-02-14,12,2020.81,351,50,Lapsed,Colour Analysis,Style Analysis,Personal Shopping,Yes,168.4
JN00052,CL0052,STY065,CON022,2024-01-18,2025-04-06,11,1508.41,300,42,Lapsed,Personal Shopping,Wardrobe Edit,Makeup,Yes,137.13
JN00053,CL0053,STY065,CON022,2021-03-23,2022-11-10,3,1121.51,1178,168,Lapsed,Personal Shopping,Wardrobe Edit,Style Analysis,Yes,373.84
JN00054,CL0054,STY058,CON021,2022-12-03,2023-05-26,3,998.97,981,140,Lapsed,Personal Shopping,Style Analysis,Makeup,Yes,332.99
JN00055,CL0055,STY019,CON006,2024-01-12,2024-07-29,11,557.38,551,78,Lapsed,Colour Analysis,Wardrobe Edit,Style Analysis,Yes,50.67
JN00056,CL0056,STY026,CON009,2023-02-05,2026-01-31,2,803.44,0,0,Loyal,Colour Analysis,Style Analysis,,Yes,401.72
JN00057,CL0057,STY021,CON007,2024-03-04,2024-05-31,11,524.68,610,87,Lapsed,Style Analysis,Makeup,Personal Shopping,Yes,47.7
JN00058,CL0058,STY026,CON009,2020-05-13,2022-03-20,5,1465.8,1413,201,Lapsed,Colour Analysis,Makeup,Wardrobe Edit,Yes,293.16
JN00059,CL0059,STY011,CON004,2020-06-17,2021-12-25,4,627.52,1498,214,Lapsed,Makeup,Personal Shopping,Colour Analysis,Yes,156.88
JN00060,CL0060,STY024,CON008,2020-11-12,2023-03-25,3,646.35,1043,149,Lapsed,Makeup,Colour Analysis,Style Analysis,Yes,215.45
JN00061,CL0061,STY051,CON018,2021-05-13,2022-11-12,1,271.96,1176,168,Lapsed,Wardrobe Edit,,,No,271.96
JN00062,CL0062,STY061,CON021,2022-06-22,2022-07-25,7,498.05,1286,183,Lapsed,Makeup,Personal Shopping,Style Analysis,Yes,71.15
JN00063,CL0063,STY007,CON003,2022-07-17,2026-01-09,2,1171.68,22,3,Loyal,Personal Shopping,Wardrobe Edit,,Yes,585.84
JN00064,CL0064,STY052,CON018,2020-06-13,2023-12-28,8,736.25,765,109,Lapsed,Colour Analysis,Makeup,Style Analysis,Yes,92.03
JN00065,CL0065,STY040,CON014,2024-05-24,2026-01-31,3,1636.22,0,0,Loyal,Wardrobe Edit,Makeup,Colour Analysis,Yes,545.41
JN00066,CL0066,STY053,CON019,2023-04-07,2024-08-10,7,1636.15,539,77,Lapsed,Colour Analysis,Style Analysis,Makeup,Yes,233.74
JN00067,CL0067,STY033,CON012,2021-01-12,2022-03-11,2,1107.77,1422,203,Lapsed,Makeup,Style Analysis,,Yes,553.88
JN00068,CL0068,STY074,CON025,2022-09-28,2024-11-25,4,626.48,432,61,Lapsed,Wardrobe Edit,Style Analysis,Makeup,Yes,156.62
JN00069,CL0069,STY061,CON021,2023-08-09,2023-11-14,1,1857.11,809,115,Lapsed,Colour Analysis,,,No,1857.11
JN00070,CL0070,STY061,CON021,2023-08-14,2026-01-31,9,1111.33,0,0,Champion,Style Analysis,Personal Shopping,Makeup,Yes,123.48
JN00071,CL0071,STY058,CON021,2020-06-24,2020-11-08,4,1368.08,1910,272,Lapsed,Style Analysis,Personal Shopping,Makeup,Yes,342.02
JN00072,CL0072,STY066,CON023,2024-09-06,2025-11-23,11,1890.79,69,9,Loyal,Personal Shopping,Colour Analysis,Makeup,Yes,171.89
JN00073,CL0073,STY043,CON015,2021-05-20,2023-07-29,7,979.68,917,131,Lapsed,Colour Analysis,Personal Shopping,Makeup,Yes,139.95
JN00074,CL0074,STY001,CON001,2022-02-20,2024-12-20,4,664.48,407,58,Lapsed,Colour Analysis,Personal Shopping,Wardrobe Edit,Yes,166.12
JN00075,CL0075,STY022,CON007,2023-06-28,2025-09-20,1,346.59,133,19,At Risk,Wardrobe Edit,,,No,346.59
JN00076,CL0076,STY020,CON007,2020-10-30,2022-08-16,1,1715.27,1264,180,Lapsed,Wardrobe Edit,,,No,1715.27
JN00077,CL0077,STY038,CON013,2021-04-05,2022-10-04,11,1023.81,1215,173,Lapsed,Makeup,Colour Analysis,Wardrobe Edit,Yes,93.07
JN00078,CL0078,STY063,CON022,2022-10-13,2026-01-31,10,2129.55,0,0,Champion,Makeup,Colour Analysis,Personal Shopping,Yes,212.96
JN00079,CL0079,STY047,CON017,2022-07-29,2026-01-31,5,1783.61,0,0,Champion,Colour Analysis,Style Analysis,Makeup,Yes,356.72
JN00080,CL0080,STY029,CON010,2020-05-02,2023-02-16,2,149.24,1080,154,Lapsed,Colour Analysis,Wardrobe Edit,,Yes,74.62
JN00081,CL0081,STY069,CON024,2023-07-04,2026-01-31,12,507.35,0,0,Champion,Colour Analysis,Style Analysis,Wardrobe Edit,Yes,42.28
JN00082,CL0082,STY018,CON006,2023-09-06,2026-01-31,12,2066.51,0,0,Champion,Wardrobe Edit,Style Analysis,Makeup,Yes,172.21
JN00083,CL0083,STY066,CON023,2020-03-14,2023-10-31,2,2004.28,823,117,Lapsed,Colour Analysis,Personal Shopping,,Yes,1002.14
JN00084,CL0084,STY069,CON024,2023-01-20,2025-05-31,11,554.25,245,35,Lapsed,Personal Shopping,Makeup,Wardrobe Edit,Yes,50.39
JN00085,CL0085,STY028,CON009,2021-03-22,2021-10-06,1,1093.08,1578,225,Lapsed,Style Analysis,,,No,1093.08
JN00086,CL0086,STY031,CON011,2022-11-12,2024-05-17,5,736.11,624,89,Lapsed,Makeup,Wardrobe Edit,Style Analysis,Yes,147.22
JN00087,CL0087,STY010,CON004,2020-09-06,2022-01-27,5,105.5,1465,209,Lapsed,Style Analysis,Personal Shopping,Makeup,Yes,21.1
JN00088,CL0088,STY046,CON016,2021-09-10,2021-09-17,11,661.42,1597,228,Lapsed,Wardrobe Edit,Colour Analysis,Style Analysis,Yes,60.13
JN00089,CL0089,STY032,CON011,2021-10-06,2023-04-06,2,1903.52,1031,147,Lapsed,Wardrobe Edit,Personal Shopping,,Yes,951.76
JN00090,CL0090,STY016,CON005,2020-01-09,2023-12-26,5,1699.53,767,109,Lapsed,Style Analysis,Makeup,Personal Shopping,Yes,339.91
JN00091,CL0091,STY033,CON012,2021-08-07,2024-08-10,4,1752.5,539,77,Lapsed,Colour Analysis,Wardrobe Edit,Personal Shopping,Yes,438.12
JN00092,CL0092,STY024,CON008,2022-02-22,2024-11-24,6,213.46,433,61,Lapsed,Colour Analysis,Style Analysis,Wardrobe Edit,Yes,35.58
JN00093,CL0093,STY042,CON015,2023-03-10,2026-01-31,7,939.71,0,0,Champion,Colour Analysis,Wardrobe Edit,Makeup,Yes,134.24
JN00094,CL0094,STY053,CON019,2022-08-09,2023-06-19,5,485.29,957,136,Lapsed,Style Analysis,Wardrobe Edit,Colour Analysis,Yes,97.06
JN00095,CL0095,STY026,CON009,2023-09-20,2024-04-27,4,1446.53,644,92,Lapsed,Personal Shopping,Wardrobe Edit,Colour Analysis,Yes,361.63
JN00096,CL0096,STY016,CON005,2023-07-01,2026-01-31,7,836.62,0,0,Champion,Makeup,Personal Shopping,Wardrobe Edit,Yes,119.52
JN00097,CL0097,STY052,CON018,2020-05-28,2023-01-17,11,163.81,1110,158,Lapsed,Style Analysis,Wardrobe Edit,Makeup,Yes,14.89
JN00098,CL0098,STY039,CON014,2023-02-06,2023-11-25,2,473.29,798,114,Lapsed,Makeup,Colour Analysis,,Yes,236.65
JN00099,CL0099,STY036,CON012,2022-11-08,2026-01-31,1,1212.9,0,0,Loyal,Wardrobe Edit,,,No,1212.9
JN00100,CL0100,STY048,CON017,2020-08-20,2023-01-02,11,506.17,1125,160,Lapsed,Style Analysis,Makeup,Personal Shopping,Yes,46.02
JN00101,CL0101,STY069,CON024,2024-11-13,2026-01-31,4,1755.72,0,0,Champion,Personal Shopping,Wardrobe Edit,Makeup,Yes,438.93
JN00102,CL0102,STY007,CON003,2022-01-26,2025-02-14,10,534.68,351,50,Lapsed,Wardrobe Edit,Makeup,Personal Shopping,Yes,53.47
JN00103,CL0103,STY025,CON009,2022-02-09,2022-07-02,1,991.98,1309,187,Lapsed,Colour Analysis,,,No,991.98
JN00104,CL0104,STY042,CON015,2022-08-15,2022-08-31,6,1640.72,1249,178,Lapsed,Personal Shopping,Wardrobe Edit,Style Analysis,Yes,273.45
JN00105,CL0105,STY066,CON023,2020-09-20,2021-05-19,6,570.03,1718,245,Lapsed,Personal Shopping,Style Analysis,Colour Analysis,Yes,95.0
JN00106,CL0106,STY054,CON019,2023-04-26,2026-01-31,9,1627.71,0,0,Champion,Personal Shopping,Colour Analysis,Makeup,Yes,180.86
JN00107,CL0107,STY040,CON014,2021-08-24,2022-10-04,3,902.75,1215,173,Lapsed,Makeup,Personal Shopping,Style Analysis,Yes,300.92
JN00108,CL0108,STY019,CON006,2021-01-24,2022-03-07,1,2205.45,1426,203,Lapsed,Wardrobe Edit,,,No,2205.45
JN00109,CL0109,STY065,CON022,2020-06-24,2021-02-28,9,1491.88,1798,256,Lapsed,Style Analysis,Makeup,Personal Shopping,Yes,165.76
JN00110,CL0110,STY028,CON009,2021-02-17,2023-01-02,12,353.63,1125,160,Lapsed,Wardrobe Edit,Makeup,Colour Analysis,Yes,29.47
JN00111,CL0111,STY027,CON009,2020-01-28,2020-04-18,2,390.7,2114,302,Lapsed,Makeup,Wardrobe Edit,,Yes,195.35
JN00112,CL0112,STY037,CON013,2023-12-03,2026-01-31,4,2316.13,0,0,Champion,Personal Shopping,Wardrobe Edit,Makeup,Yes,579.03
JN00113,CL0113,STY015,CON005,2020-12-14,2024-01-17,7,2309.58,745,106,Lapsed,Makeup,Personal Shopping,Wardrobe Edit,Yes,329.94
JN00114,CL0114,STY031,CON011,2021-04-02,2021-06-21,5,1920.48,1685,240,Lapsed,Colour Analysis,Style Analysis,Makeup,Yes,384.1
JN00115,CL0115,STY030,CON010,2024-06-13,2026-01-31,12,672.27,0,0,Champion,Wardrobe Edit,Style Analysis,Colour Analysis,Yes,56.02
JN00116,CL0116,STY026,CON009,2020-03-12,2022-05-01,11,353.3,1371,195,Lapsed,Wardrobe Edit,Style Analysis,Makeup,Yes,32.12
JN00117,CL0117,STY057,CON020,2022-02-21,2024-02-01,6,2398.38,730,104,Lapsed,Personal Shopping,Makeup,Wardrobe Edit,Yes,399.73
JN00118,CL0118,STY025,CON009,2021-03-05,2021-08-12,12,2092.95,1633,233,Lapsed,Makeup,Personal Shopping,Colour Analysis,Yes,174.41
JN00119,CL0119,STY056,CON020,2024-04-13,2024-06-18,8,1946.61,592,84,Lapsed,Colour Analysis,Style Analysis,Personal Shopping,Yes,243.33
JN00120,CL0120,STY038,CON013,2023-06-26,2026-01-31,5,2026.24,0,0,Champion,Personal Shopping,Makeup,Colour Analysis,Yes,405.25
JN00121,CL0121,STY072,CON025,2023-03-27,2023-07-22,7,1853.41,924,132,Lapsed,Personal Shopping,Wardrobe Edit,Makeup,Yes,264.77
JN00122,CL0122,STY045,CON016,2021-09-18,2024-04-16,9,885.12,655,93,Lapsed,Wardrobe Edit,Colour Analysis,Personal Shopping,Yes,98.35
JN00123,CL0123,STY032,CON011,2020-07-18,2023-07-12,9,2147.89,934,133,Lapsed,Personal Shopping,Style Analysis,Wardrobe Edit,Yes,238.65
JN00124,CL0124,STY032,CON011,2024-09-20,2025-08-12,1,1339.17,172,24,At Risk,Personal Shopping,,,No,1339.17
JN00125,CL0125,STY033,CON012,2024-10-30,2025-09-13,11,1071.33,140,20,At Risk,Style Analysis,Personal Shopping,Makeup,Yes,97.39
JN00126,CL0126,STY053,CON019,2023-04-09,2025-08-31,7,197.83,153,21,At Risk,Wardrobe Edit,Makeup,Personal Shopping,Yes,28.26
JN00127,CL0127,STY035,CON012,2024-02-16,2026-01-31,12,1182.41,0,0,Champion,Personal Shopping,Makeup,Style Analysis,Yes,98.53
JN00128,CL0128,STY067,CON023,2024-03-09,2026-01-31,1,951.66,0,0,Loyal,Wardrobe Edit,,,No,951.66
JN00129,CL0129,STY010,CON004,2023-10-08,2025-12-25,10,1497.57,37,5,Champion,Style Analysis,Personal Shopping,Makeup,Yes,149.76
JN00130,CL0130,STY058,CON021,2022-05-24,2025-07-18,12,1863.86,197,28,At Risk,Colour Analysis,Makeup,Wardrobe Edit,Yes,155.32
JN00131,CL0131,STY061,CON021,2024-02-28,2024-03-21,11,323.74,681,97,Lapsed,Colour Analysis,Style Analysis,Makeup,Yes,29.43
JN00132,CL0132,STY002,CON001,2021-06-22,2021-07-16,12,798.08,1660,237,Lapsed,Colour Analysis,Wardrobe Edit,Personal Shopping,Yes,66.51
JN00133,CL0133,STY012,CON004,2024-09-19,2024-10-12,9,2167.07,476,68,Lapsed,Makeup,Colour Analysis,Wardrobe Edit,Yes,240.79
JN00134,CL0134,STY007,CON003,2021-04-11,2024-06-23,1,1021.27,587,83,Lapsed,Makeup,,,No,1021.27
JN00135,CL0135,STY027,CON009,2023-03-25,2025-03-09,4,1074.32,328,46,Lapsed,Colour Analysis,Wardrobe Edit,Personal Shopping,Yes,268.58
JN00136,CL0136,STY019,CON006,2024-05-09,2024-11-09,12,236.79,448,64,Lapsed,Wardrobe Edit,Personal Shopping,Style Analysis,Yes,19.73
JN00137,CL0137,STY063,CON022,2022-01-23,2024-11-06,11,1613.54,451,64,Lapsed,Makeup,Colour Analysis,Style Analysis,Yes,146.69
JN00138,CL0138,STY033,CON012,2024-02-11,2026-01-31,7,1902.17,0,0,Champion,Makeup,Personal Shopping,Style Analysis,Yes,271.74
JN00139,CL0139,STY019,CON006,2023-07-05,2024-05-21,12,1133.01,620,88,Lapsed,Makeup,Wardrobe Edit,Style Analysis,Yes,94.42
JN00140,CL0140,STY018,CON006,2024-01-25,2025-11-13,4,566.29,79,11,Loyal,Colour Analysis,Personal Shopping,Wardrobe Edit,Yes,141.57
JN00141,CL0141,STY074,CON025,2021-12-11,2024-02-02,1,1414.16,729,104,Lapsed,Style Analysis,,,No,1414.16
JN00142,CL0142,STY024,CON008,2021-06-15,2021-07-06,4,1148.27,1670,238,Lapsed,Wardrobe Edit,Personal Shopping,Colour Analysis,Yes,287.07
JN00143,CL0143,STY047,CON017,2020-07-17,2022-05-24,6,208.1,1348,192,Lapsed,Wardrobe Edit,Makeup,Style Analysis,Yes,34.68
JN00144,CL0144,STY073,CON025,2023-07-24,2024-03-06,1,164.95,696,99,Lapsed,Personal Shopping,,,No,164.95
JN00145,CL0145,STY003,CON002,2023-11-28,2024-05-10,9,2297.78,631,90,Lapsed,Makeup,Style Analysis,Colour Analysis,Yes,255.31
JN00146,CL0146,STY004,CON002,2021-01-08,2023-03-04,10,1434.06,1064,152,Lapsed,Personal Shopping,Wardrobe Edit,Colour Analysis,Yes,143.41
JN00147,CL0147,STY001,CON001,2021-01-06,2022-04-05,3,2038.67,1397,199,Lapsed,Personal Shopping,Style Analysis,Wardrobe Edit,Yes,679.56
JN00148,CL0148,STY042,CON015,2022-10-20,2023-10-03,11,1161.75,851,121,Lapsed,Makeup,Colour Analysis,Personal Shopping,Yes,105.61
JN00149,CL0149,STY057,CON020,2022-02-03,2025-04-28,11,714.83,278,39,Lapsed,Wardrobe Edit,Colour Analysis,Personal Shopping,Yes,64.98
JN00150,CL0150,STY066,CON023,2024-02-09,2025-08-29,8,2177.86,155,22,At Risk,Makeup,Personal Shopping,Colour Analysis,Yes,272.23
JN00151,CL0151,STY031,CON011,2021-10-01,2022-06-06,10,1081.54,1335,190,Lapsed,Style Analysis,Makeup,Personal Shopping,Yes,108.15
JN00152,CL0152,STY043,CON015,2024-04-09,2026-01-31,9,267.91,0,0,Champion,Style Analysis,Personal Shopping,Colour Analysis,Yes,29.77
JN00153,CL0153,STY049,CON017,2023-08-01,2024-11-27,6,1364.47,430,61,Lapsed,Wardrobe Edit,Personal Shopping,Colour Analysis,Yes,227.41
JN00154,CL0154,STY058,CON021,2024-01-12,2024-02-23,12,1586.72,708,101,Lapsed,Makeup,Colour Analysis,Wardrobe Edit,Yes,132.23
JN00155,CL0155,STY070,CON024,2021-07-20,2023-10-17,12,336.26,837,119,Lapsed,Makeup,Wardrobe Edit,Colour Analysis,Yes,28.02
JN00156,CL0156,STY008,CON003,2021-12-03,2025-06-24,10,1350.8,221,31,Lapsed,Makeup,Personal Shopping,Wardrobe Edit,Yes,135.08
JN00157,CL0157,STY046,CON016,2024-11-05,2025-05-04,10,914.17,272,38,Lapsed,Wardrobe Edit,Personal Shopping,Makeup,Yes,91.42
JN00158,CL0158,STY050,CON018,2024-07-09,2026-01-31,6,1751.73,0,0,Champion,Personal Shopping,Colour Analysis,Makeup,Yes,291.95
JN00159,CL0159,STY046,CON016,2020-02-04,2023-04-26,4,1178.26,1011,144,Lapsed,Wardrobe Edit,Style Analysis,Personal Shopping,Yes,294.56
JN00160,CL0160,STY056,CON020,2021-10-04,2023-12-05,7,1872.21,788,112,Lapsed,Personal Shopping,Makeup,Wardrobe Edit,Yes,267.46
JN00161,CL0161,STY038,CON013,2022-07-23,2024-02-26,5,1470.76,705,100,Lapsed,Style Analysis,Personal Shopping,Makeup,Yes,294.15
JN00162,CL0162,STY065,CON022,2024-06-16,2024-10-11,11,2314.54,477,68,Lapsed,Personal Shopping,Colour Analysis,Makeup,Yes,210.41
JN00163,CL0163,STY002,CON001,2024-01-19,2025-11-24,5,2031.91,68,9,Loyal,Personal Shopping,Style Analysis,Makeup,Yes,406.38
JN00164,CL0164,STY026,CON009,2021-03-22,2023-10-11,3,1667.03,843,120,Lapsed,Colour Analysis,Wardrobe Edit,Style Analysis,Yes,555.68
JN00165,CL0165,STY051,CON018,2021-09-09,2024-12-23,11,1453.06,404,57,Lapsed,Colour Analysis,Style Analysis,Personal Shopping,Yes,132.1
JN00166,CL0166,STY074,CON025,2024-02-19,2026-01-31,4,755.16,0,0,Champion,Colour Analysis,Wardrobe Edit,Personal Shopping,Yes,188.79
JN00167,CL0167,STY023,CON008,2022-10-01,2022-12-05,1,651.88,1153,164,Lapsed,Wardrobe Edit,,,No,651.88
JN00168,CL0168,STY007,CON003,2024-05-30,2026-01-31,6,400.33,0,0,Champion,Colour Analysis,Wardrobe Edit,Personal Shopping,Yes,66.72
JN00169,CL0169,STY029,CON010,2022-07-23,2023-05-19,2,1575.36,988,141,Lapsed,Wardrobe Edit,Colour Analysis,,Yes,787.68
JN00170,CL0170,STY066,CON023,2020-05-31,2021-02-25,4,2186.55,1801,257,Lapsed,Makeup,Wardrobe Edit,Style Analysis,Yes,546.64
JN00171,CL0171,STY073,CON025,2022-07-28,2026-01-31,1,1949.83,0,0,Loyal,Personal Shopping,,,No,1949.83
JN00172,CL0172,STY066,CON023,2023-09-09,2024-06-23,2,712.85,587,83,Lapsed,Style Analysis,Wardrobe Edit,,Yes,356.43
JN00173,CL0173,STY074,CON025,2023-05-09,2026-01-31,2,1084.16,0,0,Loyal,Makeup,Style Analysis,,Yes,542.08
JN00174,CL0174,STY004,CON002,2020-11-28,2023-10-26,9,1872.09,828,118,Lapsed,Personal Shopping,Makeup,Wardrobe Edit,Yes,208.01
JN00175,CL0175,STY061,CON021,2022-07-26,2023-08-27,1,803.39,888,126,Lapsed,Style Analysis,,,No,803.39
JN00176,CL0176,STY056,CON020,2022-01-05,2022-08-14,7,245.51,1266,180,Lapsed,Makeup,Wardrobe Edit,Personal Shopping,Yes,35.07
JN00177,CL0177,STY048,CON017,2024-08-07,2026-01-31,1,1143.44,0,0,Loyal,Personal Shopping,,,No,1143.44
JN00178,CL0178,STY005,CON002,2024-01-30,2026-01-31,11,1893.8,0,0,Champion,Makeup,Wardrobe Edit,Colour Analysis,Yes,172.16
JN00179,CL0179,STY057,CON020,2023-11-09,2024-06-20,4,1251.96,590,84,Lapsed,Style Analysis,Makeup,Colour Analysis,Yes,312.99
