NPSID,Date,ConsultantID,StylistID,ClientID,ServiceID,NPS_Score,NPS_Category,MainSeason,Year
NPS000063,2023-01-03,CON016,STY046,CL1339,SV01,6,Detractor,Summer,2023
NPS000064,2023-01-03,CON016,STY044,CL2760,SV09,5,Detractor,Spring,2023
NPS000065,2023-01-03,CON016,STY045,CL2615,SV04,8,Passive,Autumn,2023
NPS000066,2023-01-03,CON017,STY048,CL1636,SV03,9,Promoter,Winter,2023
NPS000067,2023-01-03,CON018,STY052,CL0071,SV01,9,Promoter,Summer,2023
NPS000068,2023-01-03,CON019,STY053,CL1990,SV01,9,Promoter,Autumn,2023
NPS000069,2023-01-03,CON019,STY054,CL2497,SV03,10,Promoter,Winter,2023
NPS000070,2023-01-03,CON019,STY053,CL2251,SV01,9,Promoter,Spring,2023
NPS000071,2023-01-03,CON020,STY056,CL0256,SV08,9,Promoter,Spring,2023
NPS000072,2023-01-03,CON020,STY056,CL0395,SV03,8,Passive,Spring,2023
NPS000073,2023-01-03,CON020,STY057,CL0963,SV04,10,Promoter,Autumn,2023
NPS000074,2023-01-03,CON021,STY058,CL2704,SV06,10,Promoter,Winter,2023
NPS000075,2023-01-03,CON021,STY059,CL1787,SV03,10,Promoter,Summer,2023
NPS000076,2023-01-03,CON021,STY059,CL1579,SV04,5,Detractor,Winter,2023
NPS000077,2023-01-03,CON022,STY065,CL2586,SV01,8,Passive,Autumn,2023
NPS000078,2023-01-03,CON022,STY062,CL0446,SV11,10,Promoter,Spring,2023
NPS000079,2023-01-03,CON023,STY066,CL0407,SV06,10,Promoter,Winter,2023
NPS000080,2023-01-03,CON025,STY073,CL2869,SV08,9,Promoter,Spring,2023
NPS000081,2023-01-03,CON025,STY073,CL2577,SV03,9,Promoter,Winter,2023
NPS000082,2023-01-04,CON001,STY001,CL1092,SV10,9,Promoter,Summer,2023
NPS000083,2023-01-04,CON001,STY001,CL2061,SV03,9,Promoter,Winter,2023
NPS000084,2023-01-04,CON002,STY006,CL1434,SV07,6,Detractor,Winter,2023
NPS000085,2023-01-04,CON003,STY008,CL1510,SV03,9,Promoter,Winter,2023
NPS000086,2023-01-04,CON004,STY012,CL1836,SV01,10,Promoter,Summer,2023
NPS000087,2023-01-04,CON004,STY013,CL2468,SV03,9,Promoter,Summer,2023
NPS000088,2023-01-04,CON004,STY013,CL2490,SV01,10,Promoter,Spring,2023
NPS000089,2023-01-04,CON005,STY017,CL0258,SV12,9,Promoter,Autumn,2023
NPS000090,2023-01-04,CON005,STY016,CL2785,SV02,10,Promoter,Autumn,2023
NPS000091,2023-01-04,CON006,STY019,CL0793,SV10,8,Passive,Winter,2023
NPS000092,2023-01-04,CON007,STY022,CL1633,SV03,6,Detractor,Winter,2023
NPS000093,2023-01-04,CON007,STY021,CL0115,SV05,8,Passive,Summer,2023
NPS000094,2023-01-04,CON007,STY021,CL1879,SV03,5,Detractor,Spring,2023
NPS000095,2023-01-04,CON008,STY023,CL1035,SV02,10,Promoter,Summer,2023
NPS000096,2023-01-04,CON008,STY024,CL2727,SV01,9,Promoter,Spring,2023
NPS000097,2023-01-04,CON009,STY027,CL0435,SV03,7,Passive,Autumn,2023
NPS000098,2023-01-04,CON009,STY025,CL1518,SV03,8,Passive,Spring,2023
NPS000099,2023-01-04,CON010,STY030,CL1206,SV10,9,Promoter,Autumn,2023
NPS000100,2023-01-04,CON012,STY033,CL1698,SV03,8,Passive,Winter,2023
NPS000101,2023-01-04,CON013,STY038,CL1112,SV01,9,Promoter,Summer,2023
NPS000102,2023-01-04,CON013,STY038,CL1124,SV03,5,Detractor,Winter,2023
NPS000103,2023-01-04,CON013,STY038,CL1233,SV03,7,Passive,Spring,2023
NPS000104,2023-01-04,CON014,STY040,CL1957,SV03,8,Passive,Spring,2023
NPS000105,2023-01-04,CON014,STY039,CL0033,SV01,10,Promoter,Summer,2023
NPS000106,2023-01-04,CON016,STY046,CL1593,SV03,9,Promoter,Summer,2023
NPS000107,2023-01-04,CON016,STY044,CL0700,SV03,9,Promoter,Spring,2023
NPS000108,2023-01-04,CON017,STY047,CL1425,SV03,10,Promoter,Summer,2023
NPS000109,2023-01-04,CON018,STY050,CL2697,SV03,10,Promoter,Spring,2023
NPS000110,2023-01-04,CON018,STY052,CL2622,SV10,9,Promoter,Spring,2023
NPS000111,2023-01-04,CON018,STY052,CL2997,SV07,10,Promoter,Summer,2023
NPS000112,2023-01-04,CON019,STY054,CL1251,SV05,7,Passive,Spring,2023
NPS000113,2023-01-04,CON020,STY056,CL2519,SV04,7,Passive,Spring,2023
NPS000114,2023-01-04,CON020,STY055,CL1264,SV01,8,Passive,Winter,2023
NPS000115,2023-01-04,CON021,STY061,CL0579,SV01,10,Promoter,Summer,2023
NPS000116,2023-01-04,CON021,STY060,CL1890,SV09,6,Detractor,Spring,2023
NPS000117,2023-01-04,CON022,STY062,CL2471,SV10,9,Promoter,Summer,2023
NPS000118,2023-01-04,CON023,STY066,CL0341,SV01,5,Detractor,Spring,2023
NPS000119,2023-01-04,CON024,STY069,CL1944,SV01,9,Promoter,Autumn,2023
NPS000120,2023-01-04,CON024,STY070,CL0805,SV04,8,Passive,Spring,2023
NPS000121,2023-01-04,CON025,STY073,CL1253,SV03,8,Passive,Autumn,2023
NPS000122,2023-01-05,CON001,STY001,CL0205,SV09,8,Passive,Spring,2023
NPS000123,2023-01-05,CON001,STY002,CL0359,SV03,8,Passive,Winter,2023
NPS000124,2023-01-05,CON001,STY001,CL0268,SV05,9,Promoter,Summer,2023
NPS000125,2023-01-05,CON002,STY005,CL1762,SV06,9,Promoter,Summer,2023
NPS000126,2023-01-05,CON002,STY005,CL0198,SV01,9,Promoter,Autumn,2023
NPS000127,2023-01-05,CON002,STY004,CL2904,SV10,9,Promoter,Summer,2023
NPS000128,2023-01-05,CON004,STY013,CL2745,SV08,9,Promoter,Winter,2023
NPS000129,2023-01-05,CON005,STY016,CL1346,SV10,9,Promoter,Winter,2023
NPS000130,2023-01-05,CON005,STY014,CL0734,SV05,10,Promoter,Spring,2023
NPS000131,2023-01-05,CON005,STY015,CL2586,SV10,9,Promoter,Spring,2023
NPS000132,2023-01-05,CON006,STY019,CL0059,SV01,8,Passive,Summer,2023
NPS000133,2023-01-05,CON006,STY019,CL0845,SV02,6,Detractor,Autumn,2023
NPS000134,2023-01-05,CON007,STY020,CL0892,SV01,10,Promoter,Winter,2023
NPS000135,2023-01-05,CON008,STY024,CL1007,SV01,5,Detractor,Winter,2023
NPS000136,2023-01-05,CON010,STY029,CL2529,SV08,9,Promoter,Winter,2023
NPS000137,2023-01-05,CON010,STY029,CL1742,SV01,7,Passive,Autumn,2023
NPS000138,2023-01-05,CON010,STY029,CL2067,SV02,10,Promoter,Autumn,2023
NPS000139,2023-01-05,CON011,STY031,CL2758,SV01,9,Promoter,Autumn,2023
NPS000140,2023-01-05,CON011,STY031,CL1291,SV07,9,Promoter,Summer,2023
NPS000141,2023-01-05,CON012,STY033,CL0414,SV04,10,Promoter,Autumn,2023
NPS000142,2023-01-05,CON013,STY038,CL1647,SV01,9,Promoter,Spring,2023
NPS000143,2023-01-05,CON013,STY037,CL0857,SV05,7,Passive,Summer,2023
NPS000144,2023-01-05,CON014,STY040,CL1763,SV10,10,Promoter,Spring,2023
NPS000145,2023-01-05,CON014,STY039,CL1581,SV03,9,Promoter,Autumn,2023
NPS000146,2023-01-05,CON015,STY042,CL1009,SV03,5,Detractor,Autumn,2023
NPS000147,2023-01-05,CON016,STY046,CL0649,SV01,9,Promoter,Autumn,2023
NPS000148,2023-01-05,CON017,STY048,CL2135,SV02,10,Promoter,Spring,2023
NPS000149,2023-01-05,CON017,STY048,CL2194,SV01,6,Detractor,Winter,2023
NPS000150,2023-01-05,CON017,STY049,CL2742,SV01,8,Passive,Autumn,2023
NPS000151,2023-01-05,CON018,STY050,CL0551,SV01,8,Passive,Autumn,2023
NPS000152,2023-01-05,CON019,STY054,CL2029,SV01,10,Promoter,Autumn,2023
NPS000153,2023-01-05,CON019,STY053,CL0015,SV11,10,Promoter,Winter,2023
NPS000154,2023-01-05,CON020,STY055,CL1311,SV08,10,Promoter,Summer,2023
NPS000155,2023-01-05,CON020,STY056,CL1859,SV08,8,Passive,Spring,2023
NPS000156,2023-01-05,CON021,STY058,CL2294,SV04,10,Promoter,Spring,2023
NPS000157,2023-01-05,CON021,STY060,CL0144,SV08,10,Promoter,Summer,2023
NPS000158,2023-01-05,CON022,STY064,CL1925,SV01,8,Passive,Autumn,2023
NPS000159,2023-01-05,CON022,STY064,CL1842,SV08,9,Promoter,Spring,2023
NPS000160,2023-01-05,CON023,STY067,CL0791,SV10,7,Passive,Autumn,2023
NPS000161,2023-01-05,CON024,STY068,CL0162,SV01,10,Promoter,Summer,2023
NPS000162,2023-01-05,CON025,STY073,CL1459,SV08,8,Passive,Autumn,2023
NPS000163,2023-01-05,CON025,STY074,CL2027,SV08,9,Promoter,Winter,2023
NPS000164,2023-01-06,CON001,STY001,CL2257,SV08,9,Promoter,Winter,2023
NPS000165,2023-01-06,CON001,STY002,CL0592,SV06,9,Promoter,Spring,2023
NPS000166,2023-01-06,CON002,STY006,CL1048,SV08,7,Passive,Winter,2023
NPS000167,2023-01-06,CON002,STY005,CL0591,SV02,10,Promoter,Spring,2023
NPS000168,2023-01-06,CON003,STY007,CL2186,SV01,9,Promoter,Winter,2023
NPS000169,2023-01-06,CON004,STY013,CL0050,SV01,7,Passive,Spring,2023
NPS000170,2023-01-06,CON004,STY012,CL0131,SV08,10,Promoter,Winter,2023
NPS000171,2023-01-06,CON005,STY014,CL0806,SV05,9,Promoter,Autumn,2023
NPS000172,2023-01-06,CON007,STY020,CL2307,SV03,9,Promoter,Spring,2023
NPS000173,2023-01-06,CON008,STY023,CL0704,SV07,9,Promoter,Spring,2023
NPS000174,2023-01-06,CON008,STY024,CL0310,SV04,7,Passive,Winter,2023
NPS000175,2023-01-06,CON009,STY025,CL0281,SV09,9,Promoter,Autumn,2023
NPS000176,2023-01-06,CON010,STY029,CL1236,SV01,9,Promoter,Summer,2023
NPS000177,2023-01-06,CON011,STY031,CL2408,SV01,5,Detractor,Summer,2023
NPS000178,2023-01-06,CON011,STY032,CL1250,SV05,8,Passive,Winter,2023
NPS000179,2023-01-06,CON012,STY035,CL2628,SV01,7,Passive,Winter,2023
NPS000180,2023-01-06,CON013,STY037,CL1230,SV06,8,Passive,Winter,2023
NPS000181,2023-01-06,CON013,STY038,CL2394,SV07,7,Passive,Autumn,2023
NPS000182,2023-01-06,CON013,STY037,CL2200,SV01,10,Promoter,Winter,2023
NPS000183,2023-01-06,CON014,STY040,CL2195,SV08,10,Promoter,Autumn,2023
NPS000184,2023-01-06,CON014,STY040,CL0520,SV07,7,Passive,Summer,2023
NPS000185,2023-01-06,CON014,STY041,CL1061,SV02,10,Promoter,Spring,2023
NPS000186,2023-01-06,CON015,STY043,CL0134,SV01,7,Passive,Autumn,2023
NPS000187,2023-01-06,CON015,STY043,CL1336,SV09,8,Passive,Summer,2023
NPS000188,2023-01-06,CON015,STY042,CL0647,SV01,8,Passive,Spring,2023
NPS000189,2023-01-06,CON016,STY044,CL0689,SV10,10,Promoter,Spring,2023
NPS000190,2023-01-06,CON017,STY047,CL1347,SV03,7,Passive,Spring,2023
NPS000191,2023-01-06,CON017,STY049,CL1195,SV03,9,Promoter,Winter,2023
NPS000192,2023-01-06,CON017,STY049,CL2135,SV01,7,Passive,Winter,2023
NPS000193,2023-01-06,CON019,STY053,CL1575,SV10,9,Promoter,Winter,2023
NPS000194,2023-01-06,CON019,STY054,CL2384,SV08,9,Promoter,Winter,2023
NPS000195,2023-01-06,CON019,STY053,CL1230,SV08,9,Promoter,Autumn,2023
NPS000196,2023-01-06,CON019,STY053,CL1004,SV02,10,Promoter,Spring,2023
NPS000197,2023-01-06,CON020,STY055,CL1780,SV01,9,Promoter,Spring,2023
NPS000198,2023-01-06,CON021,STY060,CL0379,SV01,7,Passive,Winter,2023
NPS000199,2023-01-06,CON021,STY059,CL0615,SV09,10,Promoter,Spring,2023
NPS000200,2023-01-06,CON022,STY065,CL1138,SV08,5,Detractor,Autumn,2023
NPS000201,2023-01-06,CON023,STY067,CL2884,SV05,7,Passive,Summer,2023
NPS000202,2023-01-06,CON024,STY069,CL2954,SV10,7,Passive,Spring,2023
NPS000203,2023-01-06,CON025,STY074,CL2103,SV07,7,Passive,Autumn,2023
NPS000204,2023-01-06,CON025,STY073,CL0138,SV03,8,Passive,Autumn,2023
NPS000205,2023-01-06,CON025,STY074,CL0932,SV01,8,Passive,Summer,2023
NPS000206,2023-01-06,CON025,STY072,CL1862,SV03,7,Passive,Spring,2023
NPS000207,2023-01-07,CON001,STY001,CL1341,SV09,9,Promoter,Summer,2023
NPS000208,2023-01-07,CON001,STY001,CL2465,SV01,7,Passive,Spring,2023
NPS000209,2023-01-07,CON001,STY002,CL2140,SV05,10,Promoter,Spring,2023
NPS000210,2023-01-07,CON002,STY006,CL2326,SV10,7,Passive,Winter,2023
NPS000211,2023-01-07,CON003,STY009,CL0048,SV08,8,Passive,Autumn,2023
NPS000212,2023-01-07,CON003,STY008,CL0592,SV01,8,Passive,Autumn,2023
NPS000213,2023-01-07,CON003,STY008,CL2548,SV01,10,Promoter,Spring,2023
NPS000214,2023-01-07,CON004,STY011,CL1267,SV11,6,Detractor,Autumn,2023
NPS000215,2023-01-07,CON004,STY011,CL2191,SV12,10,Promoter,Spring,2023
NPS000216,2023-01-07,CON004,STY013,CL0751,SV03,10,Promoter,Autumn,2023
NPS000217,2023-01-07,CON004,STY013,CL1439,SV03,8,Passive,Winter,2023
NPS000218,2023-01-07,CON005,STY017,CL1675,SV10,10,Promoter,Autumn,2023
NPS000219,2023-01-07,CON005,STY015,CL0330,SV03,9,Promoter,Winter,2023
NPS000220,2023-01-07,CON005,STY016,CL0446,SV11,8,Passive,Autumn,2023
NPS000221,2023-01-07,CON005,STY016,CL1114,SV02,10,Promoter,Summer,2023
NPS000222,2023-01-07,CON006,STY019,CL0618,SV10,8,Passive,Spring,2023
NPS000223,2023-01-07,CON006,STY018,CL1462,SV03,10,Promoter,Summer,2023
NPS000224,2023-01-07,CON007,STY022,CL0507,SV01,8,Passive,Spring,2023
NPS000225,2023-01-07,CON007,STY020,CL1899,SV04,8,Passive,Summer,2023
NPS000226,2023-01-07,CON008,STY023,CL2060,SV02,10,Promoter,Spring,2023
NPS000227,2023-01-07,CON008,STY023,CL1660,SV12,7,Passive,Summer,2023
NPS000228,2023-01-07,CON010,STY030,CL0804,SV03,8,Passive,Winter,2023
NPS000229,2023-01-07,CON010,STY030,CL2991,SV01,8,Passive,Winter,2023
NPS000230,2023-01-07,CON011,STY031,CL2256,SV05,7,Passive,Winter,2023
NPS000231,2023-01-07,CON012,STY033,CL0479,SV10,7,Passive,Summer,2023
NPS000232,2023-01-07,CON013,STY037,CL0187,SV04,10,Promoter,Winter,2023
NPS000233,2023-01-07,CON013,STY037,CL1454,SV11,9,Promoter,Winter,2023
NPS000234,2023-01-07,CON015,STY042,CL1384,SV03,5,Detractor,Autumn,2023
NPS000235,2023-01-07,CON015,STY042,CL1818,SV07,9,Promoter,Autumn,2023
NPS000236,2023-01-07,CON015,STY042,CL0459,SV01,9,Promoter,Autumn,2023
NPS000237,2023-01-07,CON015,STY042,CL0634,SV03,9,Promoter,Spring,2023
NPS000238,2023-01-07,CON016,STY044,CL0495,SV04,7,Passive,Autumn,2023
NPS000239,2023-01-07,CON017,STY048,CL0029,SV01,10,Promoter,Spring,2023
NPS000240,2023-01-07,CON017,STY047,CL2051,SV03,10,Promoter,Spring,2023
NPS000241,2023-01-07,CON018,STY050,CL1619,SV01,9,Promoter,Spring,2023
NPS000242,2023-01-07,CON018,STY052,CL2740,SV03,9,Promoter,Autumn,2023
NPS000243,2023-01-07,CON018,STY052,CL1813,SV03,10,Promoter,Winter,2023
NPS000244,2023-01-07,CON019,STY053,CL1494,SV10,7,Passive,Winter,2023
NPS000245,2023-01-07,CON019,STY054,CL2658,SV03,10,Promoter,Autumn,2023
NPS000246,2023-01-07,CON020,STY055,CL0910,SV06,9,Promoter,Winter,2023
NPS000247,2023-01-07,CON020,STY056,CL0439,SV01,10,Promoter,Winter,2023
NPS000248,2023-01-07,CON020,STY056,CL0604,SV02,10,Promoter,Spring,2023
NPS000249,2023-01-07,CON021,STY061,CL2861,SV12,10,Promoter,Summer,2023
NPS000250,2023-01-07,CON021,STY058,CL0954,SV10,10,Promoter,Summer,2023
NPS000251,2023-01-07,CON021,STY060,CL2043,SV02,9,Promoter,Autumn,2023
NPS000252,2023-01-07,CON022,STY065,CL0501,SV10,10,Promoter,Summer,2023
NPS000253,2023-01-07,CON022,STY065,CL2237,SV01,7,Passive,Spring,2023
NPS000254,2023-01-07,CON022,STY062,CL2306,SV03,9,Promoter,Autumn,2023
NPS000255,2023-01-07,CON024,STY071,CL0659,SV05,8,Passive,Summer,2023
NPS000256,2023-01-07,CON024,STY071,CL1515,SV10,7,Passive,Summer,2023
NPS000257,2023-01-07,CON024,STY068,CL1887,SV01,9,Promoter,Summer,2023
NPS000258,2023-01-07,CON025,STY073,CL2627,SV03,7,Passive,Summer,2023
NPS000259,2023-01-07,CON025,STY072,CL2172,SV11,7,Passive,Spring,2023
NPS000260,2023-01-07,CON025,STY074,CL2891,SV10,9,Promoter,Autumn,2023
NPS000261,2023-01-09,CON001,STY001,CL2164,SV03,9,Promoter,Autumn,2023
NPS000262,2023-01-09,CON001,STY002,CL1707,SV01,10,Promoter,Autumn,2023
NPS000263,2023-01-09,CON001,STY001,CL0277,SV01,9,Promoter,Winter,2023
NPS000264,2023-01-09,CON002,STY004,CL1467,SV07,10,Promoter,Winter,2023
NPS000265,2023-01-09,CON002,STY003,CL1665,SV06,5,Detractor,Winter,2023
NPS000266,2023-01-09,CON003,STY008,CL0236,SV02,8,Passive,Winter,2023
NPS000267,2023-01-09,CON003,STY007,CL2150,SV01,10,Promoter,Winter,2023
NPS000268,2023-01-09,CON004,STY010,CL1758,SV10,10,Promoter,Summer,2023
NPS000269,2023-01-09,CON004,STY013,CL1941,SV01,8,Passive,Autumn,2023
NPS000270,2023-01-09,CON006,STY018,CL2159,SV01,10,Promoter,Summer,2023
NPS000271,2023-01-09,CON006,STY018,CL2985,SV01,5,Detractor,Summer,2023
NPS000272,2023-01-09,CON006,STY019,CL0308,SV01,9,Promoter,Autumn,2023
NPS000273,2023-01-09,CON007,STY022,CL1207,SV01,8,Passive,Spring,2023
NPS000274,2023-01-09,CON008,STY023,CL0133,SV04,6,Detractor,Summer,2023
NPS000275,2023-01-09,CON008,STY023,CL0734,SV05,6,Detractor,Spring,2023
NPS000276,2023-01-09,CON009,STY028,CL1091,SV01,7,Passive,Spring,2023
NPS000277,2023-01-09,CON009,STY025,CL1846,SV10,7,Passive,Autumn,2023
NPS000278,2023-01-09,CON009,STY025,CL0162,SV03,8,Passive,Summer,2023
NPS000279,2023-01-09,CON010,STY029,CL1146,SV01,9,Promoter,Autumn,2023
NPS000280,2023-01-09,CON010,STY029,CL1332,SV03,10,Promoter,Summer,2023
NPS000281,2023-01-09,CON011,STY031,CL2473,SV01,6,Detractor,Summer,2023
NPS000282,2023-01-09,CON011,STY031,CL0357,SV04,10,Promoter,Spring,2023
NPS000283,2023-01-09,CON012,STY036,CL0244,SV09,9,Promoter,Spring,2023
NPS000284,2023-01-09,CON012,STY035,CL0681,SV03,9,Promoter,Autumn,2023
NPS000285,2023-01-09,CON012,STY036,CL1531,SV06,9,Promoter,Spring,2023
NPS000286,2023-01-09,CON014,STY039,CL1691,SV12,10,Promoter,Spring,2023
NPS000287,2023-01-09,CON014,STY039,CL0704,SV11,5,Detractor,Winter,2023
NPS000288,2023-01-09,CON014,STY039,CL0976,SV10,5,Detractor,Winter,2023
NPS000289,2023-01-09,CON017,STY048,CL2671,SV03,9,Promoter,Summer,2023
NPS000290,2023-01-09,CON018,STY050,CL2941,SV02,9,Promoter,Winter,2023
NPS000291,2023-01-09,CON018,STY052,CL2848,SV05,8,Passive,Summer,2023
NPS000292,2023-01-09,CON018,STY052,CL1615,SV10,9,Promoter,Spring,2023
NPS000293,2023-01-09,CON018,STY050,CL2206,SV08,10,Promoter,Winter,2023
NPS000294,2023-01-09,CON020,STY056,CL1366,SV01,9,Promoter,Winter,2023
NPS000295,2023-01-09,CON020,STY056,CL0585,SV01,9,Promoter,Summer,2023
NPS000296,2023-01-09,CON020,STY056,CL0269,SV02,8,Passive,Spring,2023
NPS000297,2023-01-09,CON021,STY059,CL2549,SV03,10,Promoter,Spring,2023
NPS000298,2023-01-09,CON022,STY064,CL0525,SV08,10,Promoter,Autumn,2023
NPS000299,2023-01-09,CON023,STY066,CL0109,SV08,5,Detractor,Spring,2023
NPS000300,2023-01-09,CON023,STY066,CL0251,SV01,10,Promoter,Summer,2023
NPS000301,2023-01-09,CON024,STY069,CL1110,SV02,8,Passive,Summer,2023
NPS000302,2023-01-09,CON024,STY071,CL1809,SV01,9,Promoter,Autumn,2023
NPS000303,2023-01-09,CON025,STY072,CL0538,SV02,10,Promoter,Spring,2023
NPS000304,2023-01-09,CON025,STY072,CL2869,SV07,6,Detractor,Autumn,2023
NPS000305,2023-01-09,CON025,STY073,CL2018,SV04,9,Promoter,Spring,2023
NPS000306,2023-01-10,CON001,STY002,CL2413,SV08,9,Promoter,Winter,2023
NPS000307,2023-01-10,CON001,STY002,CL2935,SV03,10,Promoter,Autumn,2023
NPS000308,2023-01-10,CON001,STY001,CL1472,SV04,6,Detractor,Winter,2023
NPS000309,2023-01-10,CON002,STY004,CL0553,SV09,9,Promoter,Autumn,2023
NPS000310,2023-01-10,CON002,STY005,CL0690,SV05,9,Promoter,Summer,2023
NPS000311,2023-01-10,CON003,STY009,CL1605,SV09,9,Promoter,Spring,2023
NPS000312,2023-01-10,CON003,STY009,CL1445,SV04,10,Promoter,Winter,2023
NPS000313,2023-01-10,CON004,STY012,CL0773,SV04,7,Passive,Winter,2023
NPS000314,2023-01-10,CON004,STY010,CL1007,SV09,9,Promoter,Summer,2023
NPS000315,2023-01-10,CON005,STY017,CL1616,SV07,7,Passive,Spring,2023
NPS000316,2023-01-10,CON005,STY016,CL0216,SV10,9,Promoter,Winter,2023
